CODE_IRIS,geometry
920440109,"POLYGON ((648055.6 6866209.000000001, 648025.4 6866190.299999998, 647944.7 6866200.300000002, 647883.5 6866164.4, 647851.3 6866219.1000000015, 647820.9 6866272.1, 647806.1 6866297.699999999, 647794.4 6866318.1, 647770.8 6866360.8, 647705.9 6866485, 647695.2 6866505.899999999, 647708.6 6866506.4, 647716.6 6866509.200000001, 647763.2 6866528.600000001, 647826.7 6866550.999999998, 647895.4 6866575.499999999, 647933.7 6866505.7, 648004.4 6866377.899999999, 648030 6866332.400000002, 648086.8 6866229.600000001, 648055.6 6866209.000000001))"
930270105,"POLYGON ((656803.3 6869116.600000001, 656753.2 6869043.399999999, 656752.1 6869041.8, 656721.6 6869000.099999999, 656705.1 6868980.400000002, 656662.4 6868929.599999999, 656604.5 6868858.499999999, 656592 6868842.6000000015, 656578.9 6868850.5, 656415.5 6868933.600000001, 656215.6 6869176.6, 656212.2 6869181.199999997, 656204.2 6869185.999999999, 656198.8 6869189.199999999, 656160.1 6869249.1, 656104.6 6869278.899999999, 656041.5 6869306.6000000015, 656031.8 6869309.5, 656010.2 6869314.8, 655982.9 6869321.299999999, 655925.9 6869332.199999999, 655920.4 6869331.199999999, 655902.7 6869325.299999999, 655897.5 6869322.600000001, 655860 6869303.400000001, 655846.9 6869296.699999999, 655806.4 6869277.700000001, 655655.7 6869254.999999999, 655625 6869251.8, 655642.9 6869310.3, 655697.2 6869476.299999999, 655715.4 6869529.299999999, 655722.8 6869547.899999999, 655730.9 6869565.800000001, 655756.2 6869620, 655771.3 6869651.2, 655788.3 6869700.299999999, 655791.2 6869708.699999998, 655792 6869713.3, 655793.3 6869731.6, 655793.9 6869740.400000001, 655800.1 6869733.100000001, 656017 6869640.000000001, 656020.1 6869639.6, 656038.8 6869634.099999999, 656051.5 6869629.2, 656057.4 6869626.899999999, 656065.3 6869622.7, 656067.7 6869620.2, 656070 6869613.599999999, 656076.8 6869603.799999999, 656081 6869599.199999998, 656089.4 6869591.5, 656108.8 6869582.699999999, 656165 6869560.300000001, 656180.3 6869554.1, 656275.3 6869514.199999999, 656341.2 6869486.500000001, 656359.2 6869478.8, 656381.3 6869466.700000001, 656403.3 6869453.199999999, 656443.9 6869422.7, 656741.4 6869196.6, 656769.8 6869175.1, 656810.3 6869142.8, 656815 6869138.999999998, 656803.3 6869116.600000001))"
751197316,"POLYGON ((653970.6 6865885.1, 653973.1 6865893.700000001, 653986.4 6865940.8, 653993.8 6865966.899999999, 653995.7 6865972.9, 654013.6 6866029.200000001, 654036.1 6866100.1, 654051.5 6866158.700000002, 654057.6 6866155.8999999985, 654161.7 6866140.899999999, 654247.6 6866129.9, 654306 6866121.9, 654226.6 6866031.099999999, 654178.3 6865975.599999999, 654297.5 6865814.6, 654311.1 6865797.100000001, 654283.3 6865799.199999999, 654274.8 6865800.899999999, 654211 6865820, 654182.6 6865828.399999999, 654082.2 6865855.8, 654058.9 6865862, 653970.6 6865885.1))"
751176716,"POLYGON ((649189.3 6865537.3, 649147.3 6865586.2, 648987.7 6865771.7, 648979.6 6865780.999999999, 649010 6865802.499999999, 649168.2 6865719.2, 649473.8 6865546, 649490.8 6865533.699999999, 649482.6 6865533.3, 649471.5 6865534.599999998, 649453.7 6865534.700000001, 649428.6 6865533.700000002, 649414.6 6865532.400000001, 649342.5 6865523.900000001, 649307.9 6865518.800000002, 649245.8 6865507.300000001, 649219.2 6865501.599999999, 649213 6865509.000000001, 649200 6865524.700000001, 649189.3 6865537.3))"
920020104,"POLYGON ((649517.8 6851423.900000002, 649342.8 6851470.200000001, 649155.9 6851520.9, 649090.3 6851555.8, 648963 6851635.9, 648958.5 6851639.599999998, 648950.7 6851641.7, 648946.8 6851654.5, 648935.9 6851650.800000002, 648901.8 6851638.9, 648902.7 6851640.8, 649015.7 6851860.900000001, 649020.9 6851869.699999999, 649191.7 6852159.6000000015, 649200.1 6852174.9, 649226.9 6852227.999999999, 649233 6852241.200000002, 649256.2 6852299.799999999, 649264.7 6852326.000000001, 649295.6 6852518.300000001, 649286.6 6852531.699999998, 649339.2 6852528.200000001, 649352.4 6852526.5, 649372.6 6852520.599999998, 649423.9 6852508.1, 649429.9 6852506.199999999, 649611.3 6852410.199999999, 649737.1 6852325.6, 649704.7 6852205.2, 649727.2 6852104.100000001, 649740.4 6852099.9, 649717.5 6852069.499999999, 649702.1 6852072.900000001, 649682.2 6851991.300000001, 649634.5 6851744.9, 649608.5 6851586.6000000015, 649605.5 6851568.3, 649602.8 6851550.5, 649602 6851546.500000001, 649538.5 6851554.5, 649508.5 6851495.199999999, 649517.8 6851423.900000002))"
940210107,"POLYGON ((652877.1 6852663.200000001, 652692.3 6852649.199999999, 652680.3 6852664.5, 652672.8 6852675.599999998, 652652 6852709.1, 652634.1 6852738.100000001, 652624.2 6852755.1, 652609.2 6852815.6, 652588.9 6852892.900000001, 652580.7 6852920.899999999, 652587.4 6852927.900000001, 652594.9 6852934.200000001, 652625.4 6852956.5, 652643.1 6852968.300000001, 652668.8 6852984.9, 652723.8 6853018.500000001, 652736.6 6853026.700000001, 652774.3 6853051.200000001, 652787 6853031.6, 652982.3 6852813.7, 653042 6852722.299999999, 653017.9 6852707.199999999, 652877.1 6852663.200000001))"
950180701,"POLYGON ((643269.6 6873656.199999999, 643132.8 6873733.599999999, 643105.4 6873749, 643029 6873791.7, 642983.6 6873816.3, 642970.7 6873823.199999999, 642912.8 6873845.7, 642887.4 6873855.3999999985, 642863.4 6873864.399999999, 642652 6873943.3, 642507 6873997.3, 642468.5 6874011.400000001, 642432.7 6874028.599999999, 642412.8 6874039.7, 642469.5 6874126.4, 642488.6 6874156.199999999, 642498.5 6874173.500000001, 642517.9 6874207.4, 642536.6 6874236.300000002, 642554.4 6874263.700000001, 642595.5 6874326.899999999, 642623 6874369.100000001, 642670.8 6874442.3, 642690.4 6874472.299999999, 642818.7 6874648, 643054.7 6874929.800000001, 643245.5 6874892.9, 643268.9 6874871.800000002, 643292.8 6874852.899999999, 643314.8 6874842.400000001, 643653.4 6874739.600000001, 643742.2 6874484.199999999, 643751.6 6874444.6, 643753.5 6874438.300000001, 643894.6 6874223.5, 643928.9 6874124.300000001, 643943.8 6874073.1, 644090.6 6873726.3, 644095.9 6873717.6, 644088.7 6873718.699999999, 644066.6 6873717.6, 644030.9 6873714.199999999, 643951.7 6873705.099999999, 643925.1 6873701.800000001, 643913.6 6873699.2, 643889.7 6873693.700000001, 643619.6 6873655.499999999, 643322.3 6873630.8, 643316.7 6873626.500000001, 643297.2 6873639.7, 643269.6 6873656.199999999))"
751103703,"POLYGON ((652767.6 6864608.5, 652774.7 6864606.5, 652788.6 6864601.999999998, 652808.5 6864595.500000001, 652848.2 6864583.500000001, 652857.2 6864581.100000001, 652863.7 6864580.1000000015, 652933.1 6864592.4, 652964.7 6864603.100000001, 652968.2 6864590.899999999, 652963.7 6864551.5, 652956.5 6864495.700000002, 652954.8 6864486.200000001, 652947.7 6864451.8, 652936.8 6864399.399999999, 652929.1 6864375.6, 652923 6864358.099999999, 652891.9 6864279.4, 652883.3 6864255.900000001, 652878.9 6864238.400000001, 652876.1 6864219.4, 652783.6 6864241.300000001, 652756 6864247.3, 652742.1 6864248.899999999, 652737.4 6864259.4, 652725.6 6864384.8, 652763.3 6864601.700000001, 652767.6 6864608.5))"
930050802,"POLYGON ((663743 6872074.999999999, 663733.6 6872081.1, 663708.2 6872099.800000001, 663765.3 6872167.399999999, 663820.8 6872233.1, 663893.2 6872318.500000001, 663896.2 6872321, 663899.4 6872321.9, 663982.7 6872330.1, 664020.4 6872333.199999999, 664052.1 6872335.800000001, 664121.3 6872341.399999999, 664129.7 6872342.099999999, 664162.1 6872297.199999999, 664219.3 6872217.9, 664130.9 6872211.3, 664124 6872210.899999999, 664046.8 6872205.2, 663965 6872199.6, 663862.9 6872192.7, 663853.6 6872192.000000002, 663844.6 6872189.7, 663746.7 6872083.500000001, 663743 6872074.999999999))"
930500112,"POLYGON ((666383 6863481.4, 666479.8 6863526.6000000015, 666482.7 6863519.300000001, 666475.7 6863515.8, 666463.8 6863510.2, 666388.3 6863474.299999999, 666312.2 6863437.7, 666263.9 6863414.4, 666172.6 6863369.300000001, 666158.6 6863362.199999998, 666150.9 6863357.599999998, 666145 6863352.400000001, 666140.5 6863347.9, 666132.5 6863339.3, 666131 6863342.7, 666128.4 6863345.599999999, 666125 6863347.5, 666121.4 6863348.200000001, 666117.8 6863347.700000001, 666114.4 6863345.999999999, 666081.2 6863327.6, 666044.8 6863306.5, 665927.9 6863242.500000001, 665904 6863231.800000001, 665843 6863206.200000001, 665806.2 6863189.799999999, 665798.2 6863233.399999999, 665785.2 6863301.699999999, 665776.9 6863307.6000000015, 665747.4 6863328.399999999, 665677.3 6863375.6000000015, 665664.1 6863382.4, 665659 6863383.999999999, 665649.6 6863384.899999999, 665644.2 6863384.299999998, 665639.2 6863383.000000001, 665634 6863380.7, 665627.4 6863376.499999999, 665509.1 6863291.399999999, 665542.5 6863185.399999999, 665571.1 6863086.5, 665542.6 6863074.900000001, 665504.6 6863064.700000001, 665472.6 6863056.2, 665447.1 6863051.6, 665439.5 6863050.3999999985, 665413 6863046.499999999, 665365.9 6863042.299999999, 665325.4 6863038.100000001, 665274.8 6863032.200000001, 665262.3 6863030.700000001, 665208.2 6863022.8, 665175.9 6863017.100000001, 665161.6 6863014.299999999, 665121.8 6863004.900000001, 665092.1 6862996.700000002, 665065.6 6862987.900000001, 665047.3 6862976.5, 664998 6862877.999999999, 664956.9 6862793.000000001, 664947.9 6862771.600000001, 664940.1 6862750.5, 664934.4 6862732.000000001, 664924.2 6862694.6, 664915.3 6862659.700000002, 664906.9 6862619.399999999, 664902 6862590.100000001, 664878.3 6862420.5, 664869 6862353.799999999, 664863.7 6862306.600000001, 664864.4 6862235, 664859.7 6862193.400000001, 664830.9 6862203.399999999, 664799.8 6862214.599999998, 664739.6 6862236.000000001, 664718.4 6862243.9, 664720 6862250.799999999, 664699.9 6862582.600000001, 664676 6862818.500000001, 664675.8 6862823.800000001, 664676.1 6862828.3, 664680.8 6862830.1, 664737.8 6862919.299999999, 664754.5 6863033.7, 664878.8 6863155.799999999, 665028.4 6863251.499999999, 665155.2 6863179.5, 665198.1 6863262.800000002, 665219.1 6863306.999999999, 665231.2 6863332.9, 665244.4 6863365, 665251.6 6863385.199999999, 665263.2 6863426.499999999, 665267.8 6863447.4, 665274.1 6863482.799999999, 665274.8 6863486.799999999, 665278.3 6863511.499999999, 665280.2 6863532.899999999, 665281.4 6863553.6, 665281.7 6863594.400000001, 665280.6 6863632.199999999, 665278.4 6863652.499999998, 665276.6 6863667.9, 665266.9 6863716.999999999, 665265.1 6863723.2, 665251.1 6863769.400000001, 665235.1 6863812.099999998, 665216.3 6863851.099999999, 665189.5 6863898.300000001, 665166.6 6863931.3, 665135.5 6863969.300000002, 665112.8 6863993.9, 665082.5 6864022.499999999, 665094.4 6864028.2, 665149.3 6864054.3, 665186 6864049.100000001, 665218.7 6864040.299999999, 665236.7 6864035.199999998, 665416.1 6863919.1, 665504.6 6863862.199999999, 665516.4 6863887.800000001, 665529.7 6863919.4, 665535.6 6863929.8, 665542.9 6863948.9, 665549 6863967.599999999, 665553.9 6863986.899999999, 665554.9 6863994.4, 665559 6864023.700000001, 665565.8 6864058.099999998, 665576.8 6864090.700000001, 665599 6864149.7, 665604.5 6864157.3, 665618 6864174.100000001, 665652 6864143.100000001, 665687.2 6864109.299999999, 665734.8 6864059.700000001, 665743.3 6864050.799999999, 665752.6 6864040.9, 665753.3 6864040.1000000015, 665769.3 6864023.400000002, 665829.7 6863970.799999999, 665907.4 6863923.4, 665917 6863915.799999999, 665924.5 6863910.1, 665927.5 6863901.2, 665920.3 6863900.200000001, 665908.3 6863898.699999999, 665832.5 6863895.5, 665828.2 6863894.900000001, 665824.4 6863892.299999999, 665799.8 6863861.599999999, 665795.4 6863854.400000001, 665792.9 6863850.299999999, 665737.3 6863757.1000000015, 665736.1 6863721.6000000015, 665773.3 6863644.900000001, 665833.8 6863574.099999999, 665988.1 6863413, 666105.2 6863454.299999999, 666163.1 6863485.399999999, 666164.5 6863487.099999999, 666164.6 6863487.799999999, 666168.5 6863478.200000002, 666309.9 6863446.799999999, 666372.2 6863476.299999999, 666383 6863481.4))"
