id,ligne,x,y,geometry
0,RER C,656121.8462999985,6845998.1466999985,POINT (656121.8462992132 6845998.146596033)
1,RER A,650849.5187000036,6863778.762600001,POINT (650849.5186991219 6863778.762496102)
2,RER E,672031.7581999972,6856263.686000001,POINT (672031.758199496 6856263.685896073)
3,RER C,648906.4362000003,6872840.741300002,POINT (648906.4361990826 6872840.741196133)
4,RER A,664035.4267999977,6856434.997699998,POINT (664035.4267993531 6856434.997596067)
5,RER C,649466.514200002,6849978.556600001,POINT (649466.5141990972 6849978.556496053)
6,RER E,667206.3725000024,6864219.085000001,POINT (667206.372499414 6864219.084896101)
7,RER C,654572.5890000015,6843467.919300001,POINT (654572.5889991889 6843467.919196026)
8,RER A,664256.3285000026,6855143.671599999,POINT (664256.3284993622 6855143.671496064)
9,RER B,657928.4900000021,6870237.487799998,POINT (657928.4899992467 6870237.4876961205)
10,RER A,662274.7753000036,6856267.452300001,POINT (662274.7752993276 6856267.452196074)
11,RER E,664161.4174999967,6858420.515299998,POINT (664161.4174993542 6858420.515196075)
12,RER C,653907.8039999977,6849986.937800001,POINT (653907.8039991723 6849986.937696047)
13,RER C,652325.4139999971,6842005.2007,POINT (652325.4139991443 6842005.2005960215)
14,RER C,656127.793399997,6855736.0227999985,POINT (656127.7933992109 6855736.022696068)
15,RER D,657276.6642000005,6877252.6000000015,POINT (657276.6641992326 6877252.5998961525)
16,RER B,651053.1484000012,6859430.9166,POINT (651053.1483991237 6859430.916496084)
17,RER E,650761.128700003,6864095.2749999985,POINT (650761.1286991197 6864095.274896097)
18,RER C,646804.2192000002,6863555.7388,POINT (646804.2191990458 6863555.738696095)
19,RER C,649744.5411999971,6843110.3649,POINT (649744.5411990981 6843110.364796028)
20,RER B,648227.1941,6849441.8358,POINT (648227.1940990731 6849441.835696047)
21,RER A,644171.369099997,6866011.145799998,POINT (644171.3690989951 6866011.145696109)
22,RER A,666964.7067999989,6860182.5075,POINT (666964.7067994066 6860182.507396087)
23,RER D,663693.8775999993,6844442.4782,POINT (663693.8775993497 6844442.478096025)
24,RER C,647017.9576999992,6861032.480099998,POINT (647017.9576990491 6861032.479996088)
25,RER B,649468.2084999979,6853577.9767,POINT (649468.2084990926 6853577.976596067)
26,RER B,650648.8902999982,6855633.624699999,POINT (650648.8902991138 6855633.624596067)
27,RER B,663037.8693000004,6870364.551199999,POINT (663037.8692993367 6870364.551096121)
28,RER C,646718.0508999974,6875879.969700001,POINT (646718.05089904 6875879.969596145)
29,RER E,669437.8835999966,6863871.753899999,POINT (669437.8835994483 6863871.753796096)
30,RER B,651600.880400002,6857442.2267,POINT (651600.8803991345 6857442.226596075)
31,RER B,655036.0121000037,6869549.1208,POINT (655036.0120991963 6869549.12069612)
32,RER B,651114.3866000026,6856675.357999999,POINT (651114.3865991265 6856675.357896073)
33,RER B,664446.9189999998,6874940.6592999995,POINT (664446.918999361 6874940.6591961365)
34,RER A,641005.5192999989,6866424.833000001,POINT (641005.5192989402 6866424.83289611)
35,RER A,661218.9659999982,6859489.168099999,POINT (661218.9659993028 6859489.167996084)
36,RER E,660288.9576999992,6866430.200100001,POINT (660288.9576992865 6866430.199996109)
37,RER A,663803.5173000023,6852513.954100002,POINT (663803.517299354 6852513.953996056)
38,RER E,661953.9055000022,6864848.361000001,POINT (661953.9054993195 6864848.360896102)
39,RER C,639137.6827000007,6855946.034899998,POINT (639137.68269891 6855946.034796071)
40,RER D,662048.2876000032,6845287.303800002,POINT (662048.2875993241 6845287.303696033)
41,RER B,668242.3008000031,6871666.439300001,POINT (668242.3007994328 6871666.439196127)
42,RER C,657818.8642000034,6849010.005100001,POINT (657818.8641992483 6849010.004996048)
43,RER B,670934.634300001,6872649.5013,POINT (670934.634299479 6872649.501196131)
44,RER B,649281.2192000002,6852384.251400001,POINT (649281.2191990918 6852384.25129606)
45,RER C,646790.0,6862126.0,POINT (646789.9999990456 6862125.999896094)
46,RER C,649000.1560999975,6844750.361400001,POINT (649000.156099085 6844750.361296033)
47,RER C,651959.0772999972,6861698.4081000015,POINT (651959.0772991356 6861698.407996096)
48,RER A,658348.5648000017,6860960.359099999,POINT (658348.5647992548 6860960.358996088)
49,RER C,657304.5759999976,6847424.3178,POINT (657304.5759992333 6847424.317696042)
50,RER C,647131.0078999996,6861753.2577,POINT (647131.0078990514 6861753.257596092)
51,RER A,640300.5562999994,6869240.4010999985,POINT (640300.5562989276 6869240.400996122)
52,RER A,660634.6208000034,6858019.768300001,POINT (660634.6207992978 6858019.76819608)
53,RER C,649716.2726999968,6869205.7905,POINT (649716.2726990941 6869205.79039612)
54,RER C,657170.2466999963,6849597.5353000015,POINT (657170.2466992295 6849597.535196048)
55,RER D,657875.1827000007,6855927.6603000015,POINT (657875.1826992457 6855927.660196073)
56,RER E,656037.7705999985,6866623.261500001,POINT (656037.7705992095 6866623.261396112)
57,RER B,651345.3911999986,6860202.4553,POINT (651345.3911991261 6860202.4551960835)
58,RER B,648392.0449000001,6853703.414000001,POINT (648392.0448990756 6853703.413896067)
59,RER B,665912.7031000033,6870801.078600001,POINT (665912.7030993912 6870801.078496125)
60,RER A,661274.3884999976,6856365.486699998,POINT (661274.3884993035 6856365.486596067)
61,RER E,666423.4262999967,6858231.071600001,POINT (666423.4262993948 6858231.0714960825)
62,RER A,664360.9851000011,6861539.303399999,POINT (664360.985099362 6861539.303296087)
63,RER D,660433.6070000008,6845478.957800001,POINT (660433.6069992927 6845478.9576960355)
64,RER B,668582.2523000017,6878393.4208,POINT (668582.252299437 6878393.4206961505)
65,RER B,651465.8891000003,6858094.9267,POINT (651465.8890991302 6858094.926596078)
66,RER C,646607.1661000028,6848552.7228999995,POINT (646607.166099047 6848552.722796046)
67,RER B,651864.7911000028,6861541.954,POINT (651864.7910991396 6861541.953896092)
68,RER A,642345.8425000012,6867065.725400001,POINT (642345.8424989664 6867065.725296113)
69,RER C,653427.3990999982,6860462.702300001,POINT (653427.399099163 6860462.702196085)
70,RER A,665185.2531000003,6860676.4833,POINT (665185.253099376 6860676.483196085)
71,RER B,648055.8497999981,6854396.919399999,POINT (648055.8497990675 6854396.9192960635)
72,RER D,654024.0938000008,6873938.8178,POINT (654024.0937991749 6873938.8176961355)
73,RER D,665628.8215999976,6842419.4146,POINT (665628.8215993828 6842419.414496024)
74,RER A,663575.0957999974,6850344.752799999,POINT (663575.0957993452 6850344.752696048)
75,RER B,650207.6265999973,6855019.5845,POINT (650207.6265991051 6855019.584396066)
76,RER C,650856.7941000015,6841243.2826000005,POINT (650856.7940991225 6841243.282496022)
77,RER B,652093.2251000032,6862619.066599999,POINT (652093.2250991439 6862619.066496095)
78,RER A,638100.6669000015,6865352.604899999,POINT (638100.6668988907 6865352.604796109)
79,RER C,640039.5421999991,6855826.597600002,POINT (640039.5421989246 6855826.597496076)
80,RER D,655389.130900003,6875373.010200001,POINT (655389.1308992014 6875373.010096141)
81,RER C,649296.2114999965,6870546.5309999995,POINT (649296.211499086 6870546.530896121)
