,reseau,mode,shape_leng,geometry,u,v
13,RER C,RER,1638.9193832088,"LINESTRING (642349.14889897 6850387.488496056, 642388.7314989682 6850360.105696053, 642504.0858989718 6850279.072396056, 642514.2382989738 6850271.999096054, 642578.3432989717 6850228.136196053, 642634.0777989711 6850188.733496053, 642654.9776989757 6850173.882496051, 642697.5782989732 6850144.274696051, 642729.5278989775 6850121.943896052, 642894.6405989808 6850005.150696049, 643044.8455989817 6849901.965796053, 643110.0150989837 6849853.094096048, 643154.8465989857 6849813.66839605, 643170.9418989825 6849798.351096049, 643188.5177989862 6849780.222796048, 643204.9983989858 6849762.802396052, 643217.8015989851 6849748.708796051, 643231.5873989804 6849732.10759605, 643265.2054989834 6849691.160696049, 643295.0235989819 6849650.340696046, 643312.0391989856 6849623.71449605, 643325.8120989859 6849600.138796052, 643335.3540989818 6849582.640396055, 643355.4830989828 6849543.68939605, 643365.5312989869 6849521.91349605, 643372.8088989848 6849504.35819605, 643384.5141989883 6849476.469196048, 643397.936698988 6849441.339796047, 643410.7783989833 6849399.86649605, 643424.4987989891 6849345.757496046, 643434.3573989874 6849297.176996048, 643439.378998988 6849245.97029605)",100.0,22.0
25,RER C,RER,3226.8051249028,"LINESTRING (646607.166099047 6848552.722796046, 646609.3244990462 6848553.769696044, 646715.8538990465 6848606.672396044, 646779.4075990478 6848637.937096044, 646821.5842990445 6848659.681796041, 646838.2538990473 6848668.241296047, 646858.236199046 6848678.372896045, 646911.0219990493 6848705.873896047, 646923.8626990502 6848711.983696045, 646937.1750990488 6848717.975796049, 646950.9480990509 6848723.378496048, 646963.4385990542 6848727.994996047, 646974.1142990484 6848731.555796045, 646988.9924990507 6848735.9551960435, 647010.2465990534 6848741.593896047, 647033.2915990482 6848747.300396047, 647065.3540990488 6848755.231296046, 647091.2126990546 6848762.614096045, 647108.9586990544 6848768.364996048, 647127.5388990563 6848775.4550960455, 647171.769899056 6848792.070796049, 647210.928699055 6848807.512896046, 647250.4720990527 6848821.768896048, 647305.4522990539 6848843.3863960495, 647347.3955990559 6848859.8590960475, 647371.6854990611 6848870.954496046, 647393.5817990571 6848882.769896047, 647412.2685990604 6848893.41219605, 647436.4886990614 6848908.107796049, 647477.7984990611 6848933.758996048, 647542.1159990574 6848972.616096046, 647612.8225990618 6849016.2531960495, 647673.6791990643 6849053.705196046, 647745.831399064 6849096.79619605, 647833.7803990665 6849151.653396045, 647859.301199069 6849166.437996046, 647891.9431990667 6849183.862696046, 647920.2669990648 6849197.127296047, 647961.7056990709 6849216.174796045, 648016.5849990702 6849240.017396044, 648064.8614990726 6849260.105996048, 648195.916899074 6849314.687896047, 648320.7158990713 6849365.65109605, 648556.6947990758 6849457.901296048, 648619.1917990784 6849486.23659605, 648694.2565990814 6849520.28169605, 648743.7563990789 6849543.385796047, 648771.0711990811 6849557.45509605, 648807.5328990816 6849577.247196045, 648847.3062990835 6849599.911496052, 648877.6340990822 6849620.02789605, 648895.0927990838 6849633.306596046, 648937.0565990827 6849665.350996049, 648973.3046990884 6849695.443596049, 649021.1730990894 6849740.03709605, 649074.6159990849 6849793.582696051, 649128.8460990917 6849845.62199605, 649152.2187990905 6849866.523596048, 649172.5583990875 6849883.45109605, 649194.2377990924 6849898.44469605, 649211.5291990931 6849908.786296051, 649234.1724990904 6849921.72999605, 649249.2486990916 6849928.728396052, 649267.9581990918 6849937.878896052, 649286.8657990927 6849945.48529605, 649306.8810990913 6849952.367496052, 649327.1716990934 6849958.64579605, 649351.0730990937 6849965.077696049, 649372.0607990945 6849969.867996048, 649398.8088990926 6849974.302296051, 649428.7784990927 6849977.198996048, 649453.1399990955 6849978.35639605, 649466.5141990971 6849978.556496053)",220.0,7.0
26,RER C,RER,1825.5595376001,"LINESTRING (652321.1614991459 6849093.100396047, 652365.669999149 6849106.624296049, 652427.6534991465 6849129.300096048, 652430.361399149 6849130.277196047, 652433.5699991486 6849131.350096049, 652437.281899152 6849132.818696051, 652444.5194991508 6849135.525196044, 652444.546499146 6849135.535296049, 652444.604099145 6849135.556796046, 652452.529499149 6849138.689696045, 652495.961799151 6849155.022296047, 652555.0617991537 6849179.622096048, 652619.0097991538 6849209.980396052, 652655.2585991488 6849228.173196048, 652701.861899155 6849252.977996052, 652783.852899153 6849300.582296046, 652850.3870991595 6849341.217496048, 652891.3998991534 6849367.06919605, 653007.3758991589 6849438.028896045, 653116.9250991594 6849503.8545960495, 653152.105499159 6849525.755796048, 653289.2770991605 6849607.391296046, 653355.6158991673 6849648.52789605, 653407.5823991674 6849680.886496047, 653504.278199168 6849741.065196048, 653618.7491991709 6849810.39299605, 653728.2133991704 6849879.935996048, 653800.559199169 6849925.887896049, 653846.9994991727 6849953.363096052, 653907.8039991724 6849986.937696047)",451.0,15.0
27,RER C,RER,2931.8443236723,"LINESTRING (653907.8039991724 6849986.937696047, 654050.1507991744 6850075.815396048, 654154.3718991787 6850137.019296052, 654227.7701991795 6850182.256896048, 654391.9054991856 6850278.225196051, 654492.0058991881 6850338.874596051, 654563.9654991835 6850382.463096053, 654608.8901991837 6850409.6812960515, 654667.7045991871 6850441.339296054, 654718.7299991859 6850463.249296053, 654759.9415991922 6850477.000296053, 654811.2344991892 6850488.66639605, 654856.787199188 6850495.481596051, 654894.1058991894 6850498.166596054, 654925.6991991898 6850498.679396054, 654953.894899195 6850497.580096055, 654984.5589991943 6850495.046996053, 655022.2413991981 6850490.21479605, 655062.1564991921 6850482.550996053, 655098.4934991976 6850472.778596051, 655136.4087991951 6850459.720896051, 655168.4433992002 6850446.758396052, 655204.8884991955 6850428.852996052, 655233.1468991966 6850412.41639605, 655271.9700991996 6850386.079096053, 655297.4576991986 6850367.078996052, 655321.2405991972 6850346.181196049, 655344.3379992 6850324.873196055, 655366.2308991977 6850300.899096049, 655383.3107992021 6850281.01399605, 655401.4363991977 6850257.57949605, 655420.1860992004 6850232.337496051, 655438.6105992041 6850204.8781960495, 655455.9167992021 6850174.563696051, 655557.2548992052 6849990.729596049, 655603.578399206 6849905.673696048, 655643.7910992086 6849830.76189605, 655684.9828992076 6849758.720396048, 655710.549999204 6849719.567396048, 655724.5828992098 6849699.951296049, 655750.687899207 6849665.334996048, 655823.61009921 6849574.130296046, 655897.0597992094 6849486.220696049, 655941.0074992115 6849433.255896048, 655950.6069992121 6849421.476296047, 655987.0236992108 6849376.574196045, 656003.6592992118 6849357.335996046, 656022.0734992126 6849335.58309605, 656093.1326992176 6849250.509096049)",15.0,328.0
28,RER C,RER,900.7374452859,"LINESTRING (657170.2466992295 6849597.535196048, 657173.3973992325 6849638.719396051, 657176.1801992364 6849660.393396049, 657186.1822992348 6849715.425196049, 657191.3456992367 6849739.355896048, 657201.6289992344 6849777.676196049, 657216.4735992341 6849825.011496046, 657227.7042992354 6849857.932896046, 657242.6337992344 6849896.537296048, 657274.4002992386 6849974.047396049, 657284.8051992382 6850003.166196048, 657288.8993992385 6850018.052396047, 657295.939799237 6850048.339496052, 657300.2848992376 6850076.795996049, 657303.1980992361 6850102.068496047, 657304.4718992368 6850122.655396051, 657304.7256992339 6850140.851196051, 657303.6271992355 6850164.278996052, 657300.651499237 6850191.179996049, 657298.4356992347 6850205.80499605, 657296.6752992375 6850217.61059605, 657295.1338992369 6850224.522796051, 657291.0748992366 6850241.155296054, 657286.5168992381 6850257.89189605, 657275.0772992322 6850305.062796053, 657245.4340992365 6850396.996596049, 657220.1833992315 6850466.029196049)",208.0,208.0
29,RER C,RER,537.684714626,"LINESTRING (645444.7866990264 6847574.9517960455, 645453.1463990208 6847585.292396042, 645453.2779990208 6847585.454796042, 645504.500899025 6847648.818296043, 645544.2096990284 6847698.38009604, 645588.8601990287 6847752.999896039, 645622.4059990299 6847794.9141960405, 645658.4722990277 6847839.307096041, 645676.3515990264 6847861.054896042, 645688.0687990302 6847875.255196046, 645707.0570990262 6847898.093596044, 645723.310099025 6847916.655396042, 645737.433499028 6847931.635496042, 645745.1954990302 6847939.1695960425, 645755.3685990324 6847948.0834960425, 645769.7559990266 6847958.761896041, 645781.3221990298 6847966.864296044, 645798.0099990277 6847977.623396043)",321.0,456.0
31,RER E,RER,2443.1076851998,"LINESTRING (650761.1286991197 6864095.274896097, 650862.4403991154 6864091.153796103, 651004.6992991195 6864086.158796103, 651089.8617991226 6864081.6432961, 651160.8102991239 6864077.984496101, 651415.9511991292 6864073.588996097, 651487.3064991324 6864077.566796099, 651523.5854991323 6864081.230696098, 651588.8699991289 6864088.883996099, 651661.9803991362 6864098.9850961, 651676.206599136 6864101.535996103, 651695.1034991345 6864104.9242961025, 651737.2417991369 6864113.169096098, 651816.4805991349 6864128.377896099, 651885.6238991331 6864140.8118961, 652074.1631991387 6864174.945396103, 652347.4985991437 6864224.372596098, 652429.3808991496 6864239.2942961, 652451.4019991495 6864243.312496103, 652474.4295991478 6864247.514296104, 652506.7712991509 6864254.915196102, 652535.5422991492 6864262.478296102, 652554.9080991503 6864268.533096102, 652573.3498991489 6864274.860196102, 652593.7992991497 6864282.866096103, 652594.8520991493 6864283.278296104, 652618.1006991484 6864294.8567961, 652645.2044991476 6864308.651596105, 652672.0658991489 6864325.094496103, 652705.8228991487 6864349.1142961, 652725.8553991553 6864365.917096102, 652749.7175991551 6864387.544496101, 652784.9341991493 6864422.173296103, 652827.2346991554 6864476.516396102, 652829.3349991546 6864479.214596101, 652865.8800991513 6864530.236496104, 652893.8462991534 6864570.712696103, 652896.4145991546 6864574.429796105, 652920.5552991526 6864614.850496103, 652931.2421991576 6864637.060596101, 652970.1853991579 6864719.449596104)",20.0,449.0
32,RER E,RER,2116.9711182714,"LINESTRING (652970.1853991579 6864719.449596104, 653006.8797991562 6864796.024996104, 653018.382599159 6864820.128296106, 653035.9641991549 6864853.580596104, 653057.7084991555 6864894.497796102, 653073.9371991603 6864921.661396101, 653102.3172991577 6864967.214196105, 653123.9385991627 6865000.2278961055, 653145.9623991561 6865031.247996103, 653173.7618991601 6865067.122296106, 653187.7057991569 6865084.205096104, 653204.5829991571 6865103.866496102, 653207.9039991596 6865107.735296105, 653218.3685991641 6865119.777396108, 653229.8163991598 6865132.950996104, 653253.2362991603 6865159.054096105, 653279.4866991601 6865191.923496105, 653297.3661991621 6865217.468296102, 653338.1389991613 6865290.773596102, 653363.3523991605 6865340.191396103, 653411.9675991669 6865457.787796105, 653485.7426991684 6865642.517796106, 653559.7975991678 6865827.634696106, 653608.7043991705 6865948.404196109, 653625.6973991715 6865986.890896104, 653640.2313991662 6866016.137796105, 653657.4265991702 6866047.214396108, 653673.5212991715 6866073.273096108, 653689.8827991668 6866099.594096107, 653709.7148991711 6866129.59019611, 653726.3186991703 6866153.263296107, 653751.2087991729 6866186.920896107, 653770.1913991694 6866210.309496108, 653788.1024991699 6866232.119496112, 653811.3428991716 6866258.38259611, 653835.096799171 6866282.789296109, 653858.0391991724 6866305.08599611, 653878.0379991748 6866323.438796113, 653908.1460991723 6866348.321096105, 653933.18729917 6866368.483496112, 653956.6035991765 6866386.8374961065, 653979.514399172 6866402.754396109, 654007.990599172 6866422.358696109, 654032.4603991753 6866437.498596111, 654054.2576991792 6866449.48609611, 654083.7565991759 6866464.848296107, 654090.4935991796 6866468.105796109)",449.0,341.0
38,RER E,RER,1490.6041629028,"LINESTRING (661953.9054993195 6864848.360896102, 662011.120899316 6864753.3261961015, 662040.0135993181 6864705.280496103, 662049.8728993209 6864688.696696101, 662075.9894993206 6864643.474596098, 662105.2765993233 6864592.493196097, 662153.2676993227 6864510.857996104, 662174.659099325 6864474.9571961025, 662190.0395993214 6864447.838996101, 662206.9534993245 6864414.3574961005, 662219.7181993203 6864387.452496098, 662231.9720993196 6864358.448296096, 662242.747499325 6864329.650896097, 662253.4656993233 6864298.7653961, 662261.5614993209 6864274.696496101, 662267.8616993214 6864251.142896099, 662276.6385993224 6864213.0681961, 662283.0471993252 6864183.522196101, 662286.8472993239 6864163.645996101, 662293.4318993256 6864128.929496097, 662297.4537993239 6864104.0242961, 662301.2269993217 6864080.973396099, 662304.9573993253 6864052.895696096, 662308.4030993227 6864022.4391961, 662312.8351993208 6863983.507496096, 662315.6393993217 6863939.827196099, 662316.4776993264 6863913.890796098, 662316.2575993259 6863887.963396098, 662315.2594993209 6863863.894596098, 662305.2062993216 6863708.1397961, 662301.2773993256 6863650.4937961, 662297.6781993225 6863600.517996096, 662290.2155993223 6863531.789496098, 662278.2771993219 6863443.402896098)",114.0,333.0
39,RER E,RER,1774.8722570728,"LINESTRING (662278.2771993219 6863443.402896098, 662250.665999324 6863236.320796097, 662242.4704993225 6863174.742596097, 662237.8535993254 6863129.538096094, 662235.1715993215 6863094.106696098, 662234.1129993206 6863062.894896095, 662233.9557993194 6863044.375496093, 662234.0765993228 6863027.441196095, 662234.6951993264 6863006.7984960945, 662235.6073993227 6862989.592796094, 662236.7752993262 6862971.326696093, 662238.2166993252 6862954.116596094, 662240.1827993251 6862936.372796099, 662242.6667993225 6862917.301796096, 662245.4242993229 6862899.286796095, 662248.1907993265 6862882.329996095, 662251.9841993237 6862861.660396097, 662256.0464993203 6862841.5176960975, 662260.6356993255 6862821.105896097, 662265.9737993267 6862795.395996093, 662284.8710993244 6862715.067196094, 662328.7455993243 6862522.608196094, 662372.9002993287 6862331.999196093, 662416.7857993285 6862140.863696091, 662454.0126993256 6861975.713796091, 662495.8599993268 6861793.856296094, 662514.7371993271 6861711.703996093, 662516.8893993256 6861702.33789609)",333.0,352.0
