,id,mode,ligne,x,y,geometry
0,0,RER,RER C,656121.8462999985,6845998.1466999985,POINT (656121.8462992132 6845998.146596033)
1,1,RER,RER A,650849.5187000036,6863778.762600001,POINT (650849.5186991219 6863778.762496102)
2,2,RER,RER E,672031.7581999972,6856263.686000001,POINT (672031.758199496 6856263.685896073)
3,3,RER,RER C,648906.4362000003,6872840.741300002,POINT (648906.4361990826 6872840.741196133)
4,4,RER,RER A,664035.4267999977,6856434.997699998,POINT (664035.4267993531 6856434.997596067)
5,5,RER,RER A,652093.2251000032,6862619.066599999,POINT (652093.2250991439 6862619.066496095)
6,6,RER,RER D,652093.2251000032,6862619.066599999,POINT (652093.2250991439 6862619.066496095)
7,7,RER,RER C,649466.514200002,6849978.556600001,POINT (649466.5141990972 6849978.556496053)
8,8,RER,RER E,667206.3725000024,6864219.085000001,POINT (667206.372499414 6864219.084896101)
9,9,RER,RER C,654572.5890000015,6843467.919300001,POINT (654572.5889991889 6843467.919196026)
10,10,RER,RER A,664256.3285000026,6855143.671599999,POINT (664256.3284993622 6855143.671496064)
11,11,RER,RER B,657928.4900000021,6870237.487799998,POINT (657928.4899992467 6870237.4876961205)
12,12,RER,RER A,662274.7753000036,6856267.452300001,POINT (662274.7752993276 6856267.452196074)
13,13,RER,RER E,664161.4174999967,6858420.515299998,POINT (664161.4174993542 6858420.515196075)
14,14,RER,RER B,644504.6761000007,6846577.527800001,POINT (644504.6760990076 6846577.527696042)
15,15,RER,RER C,653907.8039999977,6849986.937800001,POINT (653907.8039991723 6849986.937696047)
16,16,RER,RER C,652325.4139999971,6842005.2007,POINT (652325.4139991443 6842005.2005960215)
17,17,RER,RER C,656127.793399997,6855736.0227999985,POINT (656127.7933992109 6855736.022696068)
18,18,RER,RER D,657276.6642000005,6877252.6000000015,POINT (657276.6641992326 6877252.5998961525)
19,19,RER,RER B,651053.1484000012,6859430.9166,POINT (651053.1483991237 6859430.916496084)
20,20,RER,RER E,650761.128700003,6864095.2749999985,POINT (650761.1286991197 6864095.274896097)
21,21,RER,RER D,652885.8017999977,6864829.589200001,POINT (652885.8017991524 6864829.589096106)
22,22,RER,RER C,643439.3790000007,6849245.970400002,POINT (643439.3789989881 6849245.97029605)
23,23,RER,RER C,646804.2192000002,6863555.7388,POINT (646804.2191990458 6863555.738696095)
24,24,RER,RER C,649744.5411999971,6843110.3649,POINT (649744.5411990981 6843110.364796028)
25,25,RER,RER B,648227.1941,6849441.8358,POINT (648227.1940990731 6849441.835696047)
26,26,RER,RER A,644171.369099997,6866011.145799998,POINT (644171.3690989951 6866011.145696109)
27,27,METRO,METRO 1,648356.9844999984,6864133.201000001,POINT (648356.984499072 6864133.200896102)
28,28,METRO,METRO 9,650687.2938999981,6863953.16,POINT (650687.2938991134 6863953.1598961)
29,29,METRO,METRO 9,655667.3330999985,6861158.643800002,POINT (655667.3330992035 6861158.643696091)
30,30,METRO,METRO 4,651811.8161000013,6861659.052900001,POINT (651811.8160991371 6861659.05279609)
31,31,METRO,METRO 1,644056.2663000003,6866067.740600001,POINT (644056.2662989963 6866067.740496109)
