IRIS,DEC_PIMP19,DEC_TP6019,DEC_Q119,DEC_MED19,DEC_Q319,DEC_EQ19,DEC_D119,DEC_D219,DEC_D319,DEC_D419,DEC_D619,DEC_D719,DEC_D819,DEC_D919,DEC_RD19,DEC_S80S2019,DEC_GI19,DEC_PACT19,DEC_PTSA19,DEC_PCHO19,DEC_PBEN19,DEC_PPEN19,DEC_PAUT19,DEC_NOTE19
10040101,49.5,31.4,10870,18150,25590,0.81,5720,9490,12620,15620,20840,23780,27350,32850,5.7,7.3,0.334,68,62.1,3.2,2.7,28.1,3.9,0
10040102,46.8,40.5,8620,15740,23490,0.94,3880,7400,9690,12870,18450,21760,25120,31020,8,9.8,0.369,70.2,63.1,4.5,2.6,27,2.8,0
10040201,53,29.5,11780,18600,26550,0.79,6490,10290,13120,16290,21180,24750,28280,34940,5.4,7.2,0.344,67.6,60,3.3,4.3,28.6,3.8,0
10040202,67.6,14.8,16850,24580,33290,0.67,10240,15300,18460,21750,27570,31280,36040,44630,4.4,7.5,0.392,63.2,57.4,2.4,3.4,21,15.8,0
10330102,48.7,29.6,11300,19510,29150,0.91,5340,9660,13110,16080,23000,27030,31940,42020,7.9,10,0.383,72.4,65.8,4.2,2.4,23.9,3.7,0
10330103,53.5,20.9,14480,23700,35050,0.87,8180,12780,16280,19670,27180,32270,38340,48910,6,7.9,0.362,76.1,70.7,3.9,1.5,19.7,4.2,0
10330201,53.8,20,15200,23730,35470,0.85,7970,12980,17040,20700,27540,32150,39930,56090,7,8.1,0.369,72.5,66.4,3.3,2.8,24.4,3.1,0
10330202,44.7,33.7,10470,17600,26700,0.92,5240,8510,11670,14780,20850,24500,29010,39700,7.6,9.6,0.382,68.8,62.9,4.1,1.8,30,1.2,0
10330301,43.7,28.3,12340,19420,28920,0.85,6270,10520,13990,16810,22460,26840,33090,41190,6.6,8,0.36,78.6,74.2,3.6,0.8,19.6,1.8,0
10330401,60.7,9.8,19860,27920,40850,0.75,13100,17980,21550,24810,32430,37570,44680,57530,4.4,5.7,0.322,76.7,71.9,2.4,2.4,18.4,4.9,0
10530101,57.5,29.3,11360,19110,29200,0.93,5640,9490,13100,16200,21820,26560,32480,41050,7.3,11.8,0.416,70.4,62.1,3.2,5.1,22.5,7.1,0
10530102,59.1,25.4,12670,20330,28850,0.8,6720,11060,14630,17480,23520,26720,31100,37710,5.6,7.9,0.35,53,47.9,2.7,2.4,42.1,4.9,0
10530103,57.1,24.3,13160,21320,32350,0.9,4820,10750,15150,18130,25310,29680,35700,49490,10.3,13.8,0.445,59.1,50.7,3.1,5.3,30.6,10.3,0
10530201,57,26.8,12480,19680,27420,0.76,5880,10910,13530,16630,22100,25290,29920,38230,6.5,8.6,0.375,63.2,57.8,2.9,2.5,32.4,4.4,0
10530202,43.4,44.6,7590,14890,23100,1.04,2440,6120,9180,11710,17650,20990,25190,32400,13.3,14.4,0.414,66.9,58.7,5.2,3,29.2,3.9,0
10530203,58.3,27.8,12130,19440,27190,0.77,5540,10490,14040,16830,22040,25060,30070,38230,6.9,8.3,0.352,66.8,61.2,3.1,2.5,30.1,3.1,0
10530301,64,17.7,15770,23040,32480,0.73,9000,13820,17430,19980,26350,29860,35850,47230,5.2,7.6,0.363,65.5,59.7,2.6,3.2,29.6,4.9,0
10530302,51.9,32.7,10590,18200,26280,0.86,4960,8660,12130,15690,20930,24450,29250,38170,7.7,10.4,0.4,65.2,58.5,3.2,3.5,31.9,2.9,0
