IRIS;DISP_TP6019;DISP_Q119;DISP_MED19;DISP_Q319;DISP_EQ19;DISP_D119;DISP_D219;DISP_D319;DISP_D419;DISP_D619;DISP_D719;DISP_D819;DISP_D919;DISP_RD19;DISP_S80S2019;DISP_GI19;DISP_PACT19;DISP_PTSA19;DISP_PCHO19;DISP_PBEN19;DISP_PPEN19;DISP_PPAT19;DISP_PPSOC19;DISP_PPFAM19;DISP_PPMINI19;DISP_PPLOGT19;DISP_PIMPOT19;DISP_NOTE19
10040101;20.5;14280;19400;25320;0.57;10200;12970;15130;17320;21590;24000;26860;31160;3.1;3.4;0.241;69.1;63.3;3.1;2.7;27.7;6.9;9.9;3.4;4.3;2.2;-13.6;0
10040102;26;13010;17490;23370;0.59;10050;12120;13830;15510;19420;21880;24780;29560;2.9;3.4;0.242;68.8;62.1;4.2;2.5;25.6;5.5;12.7;4;5.6;3.1;-12.6;0
10040201;18.7;14500;19670;26010;0.59;11070;13540;15600;17660;21980;24420;27950;33020;3;3.7;0.256;70.5;62.7;3.2;4.6;28.9;7.2;8.1;2.9;3.2;2;-14.7;0
10040202;9;18450;24310;31050;0.52;13640;17100;19720;21930;26970;29610;33400;40270;3;4.7;0.322;71;64.6;2.5;3.9;23;20.1;4.3;2;1.5;0.8;-18.4;0
10330102;21.3;14000;20050;28350;0.72;9060;12780;14780;17660;23120;26280;31650;39710;4.4;5.5;0.321;76.2;69.4;4.2;2.6;24.4;7.3;5.9;1.7;2.6;1.6;-13.8;0
10330103;15.8;16190;23560;33820;0.75;11430;14460;17580;20380;26900;31150;36650;46930;4.1;5.1;0.313;82.3;76.7;4;1.6;20.8;7.3;4.2;1.6;1.6;1;-14.6;0
10330201;14.8;16810;23780;34250;0.73;11390;15400;18520;21080;26930;31010;37950;51500;4.5;5.3;0.321;78.8;72.4;3.3;3.1;25.9;6.6;3.8;1.6;1.3;0.9;-15.1;0
10330202;22.8;13420;18860;26260;0.68;9910;12720;14570;16420;21360;24340;28330;37400;3.8;4.4;0.294;70.3;64.6;3.9;1.8;29.7;4;8.8;3.1;3.7;2;-12.8;0
10330301;17.3;14580;20210;28580;0.69;10130;13600;15800;18010;22420;26520;32070;39160;3.9;4.6;0.298;82.1;77.6;3.6;0.9;19.8;4.2;6.1;3.1;1.8;1.2;-12.2;0
10330401;6.8;20530;27730;39470;0.68;14810;19090;21950;24580;31290;35940;42450;54580;3.7;4.5;0.294;84.7;79.5;2.5;2.7;19.8;8.3;2.6;1.2;0.9;0.5;-15.4;0
10530101;20.1;14340;19760;28130;0.7;10230;13040;15520;17590;22200;25930;30590;38240;3.7;5.3;0.33;74.5;65.9;3.2;5.4;23.2;12.1;8;1.6;4.2;2.2;-17.8;0
10530102;16.3;15180;20850;27950;0.61;11380;14050;16240;18580;23270;26320;30260;35300;3.1;3.9;0.269;55.8;50.5;2.7;2.6;43.1;11;6.7;1.5;3.3;1.9;-16.6;0
10530103;19.3;15220;21740;31230;0.74;10280;13520;16590;19230;24830;28580;34480;43940;4.3;6.2;0.358;65.1;55.7;3.2;6.2;32.8;16.5;6;1.5;2.8;1.7;-20.4;0
10530201;16;15090;20120;26780;0.58;11310;14100;16170;18280;22400;25230;29090;36130;3.2;4.2;0.287;66.2;60.7;2.9;2.6;33;10;7.2;2;3.4;1.8;-16.4;0
10530202;29.8;12310;16910;23110;0.64;8930;11330;13210;15170;18800;21570;25160;30510;3.4;4.1;0.276;65.3;57.6;4.8;2.9;27.7;7.4;13.1;4;5.9;3.2;-13.5;0
10530203;17.5;15030;20420;26500;0.56;11160;13820;16280;18330;22280;24700;28600;34400;3.1;3.7;0.256;69.4;63.8;3;2.6;30.3;7.5;8;2.4;3.7;1.9;-15.2;0
10530301;10.9;17280;23090;30840;0.59;12850;15880;18580;20670;25590;28870;33830;42110;3.3;4.3;0.288;72.2;66;2.6;3.6;31.5;10.7;5.3;1.2;2.8;1.3;-19.7;0
10530302;21.8;13850;19520;25890;0.62;10270;12760;14830;17200;21520;24340;28110;35430;3.4;4.4;0.297;67.9;61.2;3.1;3.6;32.4;7.3;8.6;2.5;3.9;2.2;-16.2;0
10530401;20.8;14080;19330;26700;0.65;10390;13040;15270;17310;21660;24810;28880;34470;3.3;4;0.267;64.3;56.9;2.8;4.6;35.4;6.9;8.2;3.3;3.1;1.8;-14.8;0
10530402;8.9;17670;22830;28870;0.49;13400;16400;18570;20890;25110;27010;31050;36430;2.7;3.2;0.23;67.2;61.5;3.3;2.4;37;6.9;5.4;2.1;2.1;1.2;-16.5;0
10530501;;17910;23310;30270;0.53;12460;16100;19410;21020;26030;28750;33190;39660;3.2;4.2;0.288;56.1;50.1;1.6;4.4;46.6;11.3;4.2;1.3;1.9;1;-18.2;0
10530502;19.6;14530;20390;28410;0.68;11220;13230;15700;18390;23200;26480;30560;39310;3.5;4.5;0.305;62.6;55.2;2.5;4.9;36.7;11.7;6.6;2.6;2.6;1.4;-17.6;0
