age,c_work,sex,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
Y15-64,FOR,F,THS_PER,AT	24.4 	24.8 b	22.3 	20.5 	18.3 	21.3 	22.0 	22.2 	18.8 	16.8 	17.4 	17.3 	16.6 	18.5 	18.6 	16.3 b	13.6 	13.7 b	11.8 b	14.7 	12.7 	11.5 	13.4 	12.0 
Y15-64,FOR,F,THS_PER,AT1	7.0 	7.0 b	3.1 u	3.6 u	3.6 u	6.7 	5.4 u	4.5 u	4.1 u	: u	3.3 u	3.8 u	: u	: u	3.0 u	: bu	: u	: bu	: bu	: u	: u	: u	: u	: u
Y15-64,FOR,F,THS_PER,AT11	: u	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu	: bu	: u	: 	: u	: u	: u
Y15-64,FOR,F,THS_PER,AT12	: u	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu	: bu	: u	: u	: u	: u	: u
Y15-64,FOR,F,THS_PER,AT13	3.8 u	3.4 bu	: u	: u	: u	4.6 u	3.1 u	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu	: 	: u	: u	: u	: u	: u
Y15-64,FOR,F,THS_PER,AT2	: u	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu	: bu	: u	: u	: u	: u	: u
Y15-64,FOR,F,THS_PER,AT21	: u	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu	: bu	: u	: u	: u	: u	: u
Y15-64,FOR,F,THS_PER,AT22	: u	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu	: bu	: u	: u	: u	: u	: u
Y15-64,FOR,F,THS_PER,AT3	15.4 	16.5 b	17.5 	15.4 	13.6 	12.4 	15.3 	16.2 	13.5 	12.3 	13.0 	11.9 	12.1 	14.2 	14.2 	13.4 b	11.1 	10.3 b	8.6 b	10.5 	9.6 	9.1 	10.6 	9.5 
Y15-64,FOR,F,THS_PER,AT31	: u	4.1 bu	3.6 u	3.9 u	: u	: u	4.1 u	4.5 u	: u	: u	4.0 u	: u	: u	4.4 u	3.5 u	3.7 bu	: u	: bu	: bu	: u	: u	: u	: u	: u
Y15-64,FOR,F,THS_PER,AT32	: u	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu	: bu	: u	: u	: u	: u	: u
Y15-64,FOR,F,THS_PER,AT33	3.8 u	3.0 bu	4.3 u	3.3 u	: u	: u	3.3 u	3.7 u	: u	: u	: u	: u	: u	: u	3.5 u	3.2 bu	: u	: bu	: bu	: u	: u	: u	: u	: u
Y15-64,FOR,F,THS_PER,AT34	6.6 	6.6 b	7.1 	5.9 u	5.6 u	6.0 u	6.6 	6.2 	6.5 	5.3 u	5.0 u	4.6 u	4.7 u	5.5 u	5.6 u	5.0 bu	5.0 u	4.4 bu	: bu	4.4 u	: u	: u	: u	: u
