CODGEO;TP4019;TP5019;TP6019;TP60Q219;TP60IP19;AGE1TP4019;AGE1TP5019;AGE1TP6019;AGE1TP60Q219;AGE1TP60IP19;AGE2TP4019;AGE2TP5019;AGE2TP6019;AGE2TP60Q219;AGE2TP60IP19;AGE3TP4019;AGE3TP5019;AGE3TP6019;AGE3TP60Q219;AGE3TP60IP19;AGE4TP4019;AGE4TP5019;AGE4TP6019;AGE4TP60Q219;AGE4TP60IP19;AGE5TP4019;AGE5TP5019;AGE5TP6019;AGE5TP60Q219;AGE5TP60IP19;AGE6TP4019;AGE6TP5019;AGE6TP6019;AGE6TP60Q219;AGE6TP60IP19;TME1TP4019;TME1TP5019;TME1TP6019;TME1TP60Q219;TME1TP60IP19;TME2TP4019;TME2TP5019;TME2TP6019;TME2TP60Q219;TME2TP60IP19;TME3TP4019;TME3TP5019;TME3TP6019;TME3TP60Q219;TME3TP60IP19;TME4TP4019;TME4TP5019;TME4TP6019;TME4TP60Q219;TME4TP60IP19;TME5TP4019;TME5TP5019;TME5TP6019;TME5TP60Q219;TME5TP60IP19;TOL1TP4019;TOL1TP5019;TOL1TP6019;TOL1TP60Q219;TOL1TP60IP19;TOL2TP4019;TOL2TP5019;TOL2TP6019;TOL2TP60Q219;TOL2TP60IP19;TLD2TP4019;TLD2TP5019;TLD2TP6019;TLD2TP60Q219;TLD2TP60IP19;TLD3TP4019;TLD3TP5019;TLD3TP6019;TLD3TP60Q219;TLD3TP60IP19;TYM1TP4019;TYM1TP5019;TYM1TP6019;TYM1TP60Q219;TYM1TP60IP19;TYM2TP4019;TYM2TP5019;TYM2TP6019;TYM2TP60Q219;TYM2TP60IP19;TYM3TP4019;TYM3TP5019;TYM3TP6019;TYM3TP60Q219;TYM3TP60IP19;TYM4TP4019;TYM4TP5019;TYM4TP6019;TYM4TP60Q219;TYM4TP60IP19;TYM5TP4019;TYM5TP5019;TYM5TP6019;TYM5TP60Q219;TYM5TP60IP19;TYM6TP4019;TYM6TP5019;TYM6TP6019;TYM6TP60Q219;TYM6TP60IP19;OPR1TP4019;OPR1TP5019;OPR1TP6019;OPR1TP60Q219;OPR1TP60IP19;OPR2TP4019;OPR2TP5019;OPR2TP6019;OPR2TP60Q219;OPR2TP60IP19;OPR3TP4019;OPR3TP5019;OPR3TP6019;OPR3TP60Q219;OPR3TP60IP19;OPR4TP4019;OPR4TP5019;OPR4TP6019;OPR4TP60Q219;OPR4TP60IP19;OPR5TP4019;OPR5TP5019;OPR5TP6019;OPR5TP60Q219;OPR5TP60IP19
01004;16;22;28;7980;0.385;17;23;30;7950;0.388;23;31;37;7500;0.423;19;28;35;8060;0.379;14;19;23;7180;0.447;;10;15;9330;0.281;;;;;;12;17;22;7750;0.404;9;12;16;7930;0.389;13;20;26;8430;0.351;14;21;27;8420;0.352;34;45;53;7560;0.418;5;6;9;9460;0.271;26;35;43;7520;0.421;37;49;58;7170;0.448;14;19;28;8580;0.34;;;20;7030;0.459;;18;24;8430;0.351;;;9;9160;0.295;17;24;31;8280;0.362;31;40;49;6920;0.467;;;;;;12;18;25;8960;0.31;67;;;5980;0.539;;;;;;8;12;17;8760;0.326;;;;;
01007;;9;13;9400;0.276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;8990;0.308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;10020;0.229;;;;;;;;;;;;;;;;;;;;
01014;8;13;19;9390;0.277;;;;;;;;;;;;;25;9690;0.254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;9430;0.274;;;10;9790;0.246;17;27;37;8920;0.313;;30;41;9050;0.303;;;;;;;;;;;;;;;;;;;;;;13;20;9480;0.27;;;;;;;;;;;;10;17;10010;0.229;;;;;;;;;;;;;;;;;;;;
01024;;8;12;9430;0.274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;10000;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;8880;0.316;;;;;;;;;;;;;11;10410;0.198;;;;;;;;;;;;;;;;;;;;
01025;5;7;11;9020;0.305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;9760;0.249;;;34;8310;0.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;8400;0.353;;;;;;;;;;;;;9;9690;0.254;;;;;;;;;;;;;;;;;;;;
01031;17;23;29;7930;0.389;;;;;;;37;44;7660;0.41;23;32;40;8020;0.383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;47;56;7310;0.437;;;;;;28;37;47;7850;0.396;30;41;52;7920;0.39;;;;;;;;;;;;;;;;;;;;;19;26;34;8290;0.361;;;;6640;0.489;;;;;;13;20;28;8780;0.324;;;;;;;;;;;;;;;;;;;;
01032;;11;17;10010;0.23;;;;;;;;22;10120;0.221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;10120;0.221;;;;;;;19;29;9890;0.238;;22;32;10030;0.228;;;;;;;;;;;;;;;;;;;;;;11;18;10340;0.203;;;;;;;;;;;;10;17;10340;0.203;;;;;;;;;;;;;;;;;;;;
01033;13;18;23;7990;0.385;;19;25;8120;0.375;16;21;27;7060;0.457;16;22;27;7830;0.397;14;17;21;7370;0.432;8;11;16;8650;0.334;;;16;10460;0.195;12;17;22;8110;0.376;8;11;16;8550;0.341;11;14;19;7960;0.387;12;15;20;7980;0.385;25;34;41;7540;0.419;5;6;9;8810;0.322;23;31;39;7700;0.407;27;37;48;8030;0.382;17;21;26;6360;0.51;;;21;5450;0.58;;16;23;8980;0.308;;7;11;9240;0.288;14;19;24;7940;0.389;27;33;41;7260;0.441;;;;;;9;14;18;8670;0.332;49;59;;6060;0.533;;;;;;8;13;20;9580;0.262;;;;;
01034;15;21;28;8430;0.351;;;32;7250;0.442;23;31;41;7900;0.392;21;30;38;8250;0.365;13;19;25;8400;0.353;;13;19;8950;0.311;;;;;;13;19;26;8740;0.327;;11;16;8950;0.311;;16;24;9350;0.28;15;20;27;8410;0.353;32;45;54;7420;0.429;;6;11;10520;0.19;25;35;45;7850;0.395;36;48;59;7440;0.427;14;23;30;8740;0.327;;;;;;;;27;8980;0.308;;;;;;18;26;32;7850;0.395;27;37;48;8120;0.375;;;;;;12;20;27;9190;0.292;;;;5790;0.554;;;;;;10;13;19;8710;0.329;;;;;
01043;;5;8;9900;0.237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;9350;0.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;10550;0.187;;;;;;;;;;;;;;;;;;;;
01049;;6;10;9470;0.271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;9750;0.249;;;;;;;;;;;;;;;;;;;;
