CODGEO;TP4019;TP5019;TP6019;TP60Q219;TP60IP19;AGE1TP4019;AGE1TP5019;AGE1TP6019;AGE1TP60Q219;AGE1TP60IP19;AGE2TP4019;AGE2TP5019;AGE2TP6019;AGE2TP60Q219;AGE2TP60IP19;AGE3TP4019;AGE3TP5019;AGE3TP6019;AGE3TP60Q219;AGE3TP60IP19;AGE4TP4019;AGE4TP5019;AGE4TP6019;AGE4TP60Q219;AGE4TP60IP19;AGE5TP4019;AGE5TP5019;AGE5TP6019;AGE5TP60Q219;AGE5TP60IP19;AGE6TP4019;AGE6TP5019;AGE6TP6019;AGE6TP60Q219;AGE6TP60IP19;TME1TP4019;TME1TP5019;TME1TP6019;TME1TP60Q219;TME1TP60IP19;TME2TP4019;TME2TP5019;TME2TP6019;TME2TP60Q219;TME2TP60IP19;TME3TP4019;TME3TP5019;TME3TP6019;TME3TP60Q219;TME3TP60IP19;TME4TP4019;TME4TP5019;TME4TP6019;TME4TP60Q219;TME4TP60IP19;TME5TP4019;TME5TP5019;TME5TP6019;TME5TP60Q219;TME5TP60IP19;TOL1TP4019;TOL1TP5019;TOL1TP6019;TOL1TP60Q219;TOL1TP60IP19;TOL2TP4019;TOL2TP5019;TOL2TP6019;TOL2TP60Q219;TOL2TP60IP19;TLD2TP4019;TLD2TP5019;TLD2TP6019;TLD2TP60Q219;TLD2TP60IP19;TLD3TP4019;TLD3TP5019;TLD3TP6019;TLD3TP60Q219;TLD3TP60IP19;TYM1TP4019;TYM1TP5019;TYM1TP6019;TYM1TP60Q219;TYM1TP60IP19;TYM2TP4019;TYM2TP5019;TYM2TP6019;TYM2TP60Q219;TYM2TP60IP19;TYM3TP4019;TYM3TP5019;TYM3TP6019;TYM3TP60Q219;TYM3TP60IP19;TYM4TP4019;TYM4TP5019;TYM4TP6019;TYM4TP60Q219;TYM4TP60IP19;TYM5TP4019;TYM5TP5019;TYM5TP6019;TYM5TP60Q219;TYM5TP60IP19;TYM6TP4019;TYM6TP5019;TYM6TP6019;TYM6TP60Q219;TYM6TP60IP19;OPR1TP4019;OPR1TP5019;OPR1TP6019;OPR1TP60Q219;OPR1TP60IP19;OPR2TP4019;OPR2TP5019;OPR2TP6019;OPR2TP60Q219;OPR2TP60IP19;OPR3TP4019;OPR3TP5019;OPR3TP6019;OPR3TP60Q219;OPR3TP60IP19;OPR4TP4019;OPR4TP5019;OPR4TP6019;OPR4TP60Q219;OPR4TP60IP19;OPR5TP4019;OPR5TP5019;OPR5TP6019;OPR5TP60Q219;OPR5TP60IP19;OPR6TP4019;OPR6TP5019;OPR6TP6019;OPR6TP60Q219;OPR6TP60IP19
01004;5;10;18;10780;0.181;;;21;10440;0.206;;12;23;10790;0.18;;12;21;10730;0.185;;9;16;10120;0.231;;;10;10960;0.167;;;;;;;8;16;10730;0.185;;6;10;10750;0.183;;10;17;10460;0.205;;9;15;10750;0.183;;18;34;10850;0.176;;5;6;10850;0.176;6;15;28;10760;0.182;7;21;37;10750;0.183;;9;17;10780;0.181;;;;;;;;17;10960;0.167;;;;;;5;10;19;10760;0.182;;18;30;10680;0.189;;;;;;;6;13;11150;0.153;;46;;9800;0.255;;;;;;;;13;11090;0.157;;;;;;;;;8800;0.331
01014;;;11;11060;0.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;10710;0.186;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;11410;0.133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01024;;;7;11430;0.131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01025;;;6;10920;0.171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01031;;10;20;10780;0.181;;;;;;;;;;;;;27;10780;0.181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;11180;0.151;;;;;;;17;32;10660;0.19;;18;34;10780;0.181;;;;;;;;;;;;;;;;;;;;;;;23;10780;0.181;;;;;;;;;;;;;16;11520;0.125;;;;;;;;;;;;;;;;;;;;;;;;;
01032;;;7;10800;0.179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01033;6;10;16;9860;0.251;;;20;9740;0.26;8;13;18;9060;0.312;6;12;18;9620;0.269;;11;16;9730;0.261;;;12;10830;0.177;;;;;;;10;17;10170;0.227;;6;11;10440;0.207;;9;14;9480;0.28;6;10;15;9580;0.272;9;16;25;10100;0.233;;5;6;9640;0.268;10;17;27;9970;0.243;9;18;31;10410;0.209;11;16;21;8760;0.334;;;;;;;;18;10640;0.191;;;8;10550;0.198;6;11;16;9730;0.261;;18;28;9770;0.257;;;;;;5;7;11;10320;0.216;;46;60;9410;0.285;;;;;;;7;15;11140;0.153;;;;;;;;;6840;0.48
01034;5;10;17;10600;0.194;;;;;;;14;25;10600;0.194;;13;22;10470;0.204;;;13;10830;0.177;;;14;10620;0.193;;;;;;;;17;11010;0.163;;;9;10750;0.183;;;;;;;;16;10140;0.229;;21;34;10470;0.204;;;6;10890;0.172;7;16;28;10530;0.2;9;23;39;10480;0.203;;9;16;10710;0.186;;;;;;;;;;;;;;;;;12;20;10440;0.207;;;27;10510;0.201;;;;;;;7;14;10920;0.17;;;;10090;0.233;;;;;;;;14;10750;0.183;;;;;;;;;;
01043;;;5;10540;0.199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01053;6;13;22;10490;0.203;11;19;27;9480;0.279;8;18;30;10360;0.213;7;16;28;10540;0.199;6;12;21;10510;0.201;5;8;16;10860;0.175;;5;10;11300;0.142;5;9;17;10440;0.207;5;8;14;10540;0.199;6;13;20;10230;0.223;7;14;24;10390;0.21;11;24;43;10560;0.197;;5;5;11060;0.16;9;20;34;10400;0.21;10;23;41;10550;0.199;8;13;21;10120;0.231;7;12;18;9410;0.285;;7;15;11070;0.159;;5;10;10740;0.184;7;15;27;10560;0.198;10;21;35;10350;0.214;;16;26;10360;0.213;5;9;18;11100;0.156;22;52;72;9780;0.257;;;29;10020;0.238;5;7;15;11140;0.153;;;;;;45;70;81;8510;0.353
