CODGEO;TR1PACT19;TR1PTSA19;TR1PCHO19;TR1PBEN19;TR1PPEN19;TR1PAUT19;TR2PACT19;TR2PTSA19;TR2PCHO19;TR2PBEN19;TR2PPEN19;TR2PAUT19;TR3PACT19;TR3PTSA19;TR3PCHO19;TR3PBEN19;TR3PPEN19;TR3PAUT19;TR4PACT19;TR4PTSA19;TR4PCHO19;TR4PBEN19;TR4PPEN19;TR4PAUT19;TR5PACT19;TR5PTSA19;TR5PCHO19;TR5PBEN19;TR5PPEN19;TR5PAUT19;TR6PACT19;TR6PTSA19;TR6PCHO19;TR6PBEN19;TR6PPEN19;TR6PAUT19;TR7PACT19;TR7PTSA19;TR7PCHO19;TR7PBEN19;TR7PPEN19;TR7PAUT19;TR8PACT19;TR8PTSA19;TR8PCHO19;TR8PBEN19;TR8PPEN19;TR8PAUT19;TR9PACT19;TR9PTSA19;TR9PCHO19;TR9PBEN19;TR9PPEN19;TR9PAUT19;TR10PACT19;TR10PTSA19;TR10PCHO19;TR10PBEN19;TR10PPEN19;TR10PAUT19
01004;85.1;55.3;24.9;4.9;16.5;-1.6;79;65.9;11.2;1.9;20.6;0.4;71;61.9;7;2.1;28.1;0.9;71.1;66.6;3.7;0.8;28;0.9;66.9;62.7;3.6;0.6;31.4;1.7;67.6;63.8;2.6;1.2;30.8;1.6;65.4;61.7;2.3;1.4;32.7;1.9;70;65.5;1.7;2.8;27.7;2.3;69.2;65;1.3;2.9;26.3;4.5;53.6;44;0.7;8.9;12;34.4
01007;;;;;;;79.5;;;;19;1.5;60.3;;;;37.1;2.6;67.7;;;;30.7;1.6;72.3;68.1;2.1;2.1;26.5;1.2;68.4;;;;29.6;2;70.7;;;;27.1;2.2;74.4;;;;22.8;2.8;75.4;70.3;1.3;3.8;20.4;4.2;;;;;;
01014;72.4;;;;28.8;-1.2;74;;;;25.2;0.8;72.3;;;;27.1;0.6;63.5;;;;35.7;0.8;63.2;;;;35.2;1.6;62.1;;;;36.2;1.7;68.4;;;;30.1;1.5;71.7;67.9;2;1.8;26.2;2.1;66.2;;;;30.1;3.7;57.5;;;;21.2;21.3
01024;;;;;;;74.9;;;;24.4;0.7;67.9;;;;31.1;1;80.7;74.1;4.3;2.3;17.8;1.5;73.4;;;;25.7;0.9;71.8;68;2.3;1.5;26.9;1.3;68.1;;;;30;1.9;68.6;63.4;1.8;3.4;28.2;3.2;69.4;64.5;1.3;3.6;27.2;3.4;;;;;;
01025;;;;;;;73.6;;;;26;0.4;57.2;51.1;2.6;3.5;39.8;3;69.1;61.5;4.1;3.5;28.6;2.3;70.3;65.9;2.7;1.7;28.3;1.4;74.3;69;2.3;3;23.8;1.9;79.2;75;1.3;2.9;19.3;1.5;76.4;71.1;1.2;4.1;21.7;1.9;78.4;70.8;1.3;6.3;16.7;4.9;63.6;;;;18;18.4
01031;79.5;;;;20.2;0.3;80.2;;;;19.1;0.7;68.8;;;;31.1;0.1;68.1;;;;30.9;1;60.2;;;;39.3;0.5;56.7;;;;40.8;2.5;59.4;;;;39.1;1.5;64.8;;;;32.3;2.9;61.9;;;;34.6;3.5;;;;;;
01032;;;;;;;91.4;;;;9.9;-1.3;89.3;76.2;7.6;5.5;9.7;1;76.5;;;;22.7;0.8;75.3;;;;23.6;1.1;77.6;;;;21.1;1.3;66.6;;;;31.5;1.9;71.7;;;;26.2;2.1;72.5;;;;24.6;2.9;73.6;;;;15.7;10.7
01033;79.2;56.5;19.8;2.9;17.9;2.9;68.9;55.3;11.8;1.8;29.7;1.4;65.6;55.9;8.1;1.6;33.3;1.1;60.9;54.5;5;1.4;37.3;1.8;64.7;58;5.3;1.4;33.5;1.8;66.8;62.9;2.7;1.2;31.4;1.8;71.1;66;3.7;1.4;26.8;2.1;75.3;71.5;2.5;1.3;22.1;2.6;79.5;75.7;2.6;1.2;17.8;2.7;80;75.2;1.2;3.6;13.8;6.2
01034;73;50.4;19.8;2.8;25.9;1.1;74.7;61;10.6;3.1;24.8;0.5;63.6;54.9;7.2;1.5;35.5;0.9;57.9;52.1;3.8;2;40.6;1.5;62.1;57.6;2.6;1.9;35.9;2;62.8;57.5;2.8;2.5;35.3;1.9;61.1;56.4;2.6;2.1;35.4;3.5;66;59.9;1.8;4.3;30.6;3.4;59;52.8;1.2;5;36.3;4.7;57.1;46.2;0.6;10.3;26.8;16.1
01043;;;;;;;75.1;58.7;11.3;5.1;21.7;3.2;69.6;;;;29.2;1.2;75.3;;;;23.5;1.2;70.2;64.3;3;2.9;26.9;2.9;70.6;64.9;3.4;2.3;28;1.4;66.8;62.5;2.4;1.9;29.3;3.9;65.7;61.6;2.1;2;31.6;2.7;70.4;64.9;2;3.5;24.9;4.7;78.5;68.7;1.5;8.3;13;8.5
01049;;;;;;;80.4;;;;20.3;-0.7;74.1;58.8;9.2;6.1;25.2;0.7;78.2;;;;20.3;1.5;77.6;;;;21.3;1.1;69.1;;;;28.9;2;66.4;60.3;2.9;3.2;30.8;2.8;68.8;;;;28.3;2.9;73.1;68.4;1.1;3.6;21.9;5;76.6;68.3;1.3;7;12.6;10.8
01053;78.8;54.3;21.7;2.8;21;0.2;72.8;59.4;11.7;1.7;26.8;0.4;68.5;60;7.4;1.1;30.7;0.8;62.6;57.2;4.4;1;36.4;1;62.3;58;3.3;1;36.3;1.4;61.5;58.1;2.4;1;36.9;1.6;57.3;54.1;1.7;1.5;40.6;2.1;59.5;55.7;1.6;2.2;37.6;2.9;55.1;51.8;0.9;2.4;40.8;4.1;63.2;52.6;0.8;9.8;23.6;13.2
01071;;;;;;;77;;;;17.6;5.4;;;;;;;;;;;;;;;;;;;77.7;;;;19.6;2.7;80.8;;;;17.6;1.6;75.2;;;;21.5;3.3;78.7;73.6;3.6;1.5;17.5;3.8;87.3;82.8;1.5;3;8.8;3.9
01072;;;;;;;80.8;;;;17;2.2;76.7;;;;22.3;1;65.6;;;;32.9;1.5;64.8;;;;34.4;0.8;71.4;;;;26.2;2.4;66.7;62.7;1.9;2.1;32.2;1.1;67.3;60.5;1.8;5;28.8;3.9;64.4;58;1.4;5;29.1;6.5;69.4;;;;15.7;14.9
01074;;;;;;;;;;;;;71.2;60.7;5.2;5.3;26.3;2.5;71;63.9;3.9;3.2;26.2;2.8;74.2;;;;24.1;1.7;72.9;;;;24.9;2.2;70.9;;;;24.7;4.4;78.2;71.8;1.5;4.9;18.2;3.6;79.9;;;;16;4.1;;;;;;
01089;;;;;;;;;;;;;;;;;;;75.2;;;;23;1.8;73.9;;;;24.5;1.6;76.9;;;;22.1;1;72.6;;;;26.3;1.1;75.3;;;;22.2;2.5;78.8;;;;18.3;2.9;;;;;;
01093;64.9;;;;32.8;2.3;69.2;;;;29.7;1.1;62.6;54.5;5.8;2.3;36.7;0.7;53.8;;;;44.3;1.9;62;;;;36.5;1.5;54.3;;;;43.5;2.2;62.2;58;2.4;1.8;35.6;2.2;63.3;59.5;1.2;2.6;33.1;3.6;66.3;60.3;1.7;4.3;29.6;4.1;61.5;49.2;1.3;11;21.1;17.4
01109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.2;;;;10.6;2.2;91;;;;8.3;0.7;88.4;;;;8.9;2.7
01130;;;;;;;;;;;;;83.4;;;;17.4;-0.8;70.7;64.7;3.1;2.9;27.7;1.6;77.1;;;;19.7;3.2;74.7;68.7;1.7;4.3;23.9;1.4;75.7;;;;22.1;2.2;76.5;;;;20;3.5;;;;;;;;;;;;
01135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;;;;18.7;5.3;81.9;78.9;1.3;1.7;13.7;4.4
01138;72.3;;;;25.7;2;75.2;;;;24.6;0.2;60.1;;;;39.2;0.7;64.6;;;;34.5;0.9;62.5;55;4.4;3.1;36;1.5;55.3;;;;41.8;2.9;62.7;;;;35.5;1.8;68.7;;;;29.4;1.9;;;;;;;;;;;;
01142;;;;;;;81.8;;;;16.8;1.4;72.6;;;;26.3;1.1;67.3;;;;31.5;1.2;73.5;;;;25;1.5;70.9;;;;28;1.1;76.6;;;;21.8;1.6;75.1;70.2;2.1;2.8;22.3;2.6;77.5;73.1;1.7;2.7;18.4;4.1;74.7;64.3;0.9;9.5;12.6;12.7
01143;75.5;51.2;19.4;4.9;10.1;14.4;67.5;;;;30.8;1.7;58.9;;;;37.3;3.8;68.3;;;;25;6.7;63;46.9;8.2;7.9;31;6;63.3;52.9;6.1;4.3;33.1;3.6;60;50.6;6.7;2.7;33.5;6.5;69.8;61.7;5.6;2.5;25.8;4.4;70.3;62.3;5.6;2.4;25.1;4.6;85.2;81;1.9;2.3;9.5;5.3
01153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73.2;66.8;3.3;3.1;23;3.8;83.7;79.9;1.8;2;12.6;3.7
01157;;;;;;;;;;;;;;;;;;;;;;;;;61.6;;;;36.4;2;59.5;;;;37.1;3.4;63.6;;;;33.3;3.1;70.5;65.7;1.7;3.1;26.8;2.7;80.2;75.9;1.4;2.9;16.2;3.6;66;58.8;0.9;6.3;12.8;21.2
01159;;;;;;;71.1;;;;33.6;-4.7;62.3;;;;36.9;0.8;59.8;;;;38.9;1.3;65.2;60.3;2.5;2.4;31.9;2.9;72.7;;;;25.2;2.1;68.5;65.4;1.1;2;28.8;2.7;72.3;65;2.4;4.9;25;2.7;69;63.1;0.9;5;25.4;5.6;69.4;56.6;0.8;12;12.4;18.2
01160;66.2;46.6;14.9;4.7;16.5;17.3;73.8;57.5;13;3.3;19.6;6.6;72.5;;;;22.4;5.1;76.4;;;;21;2.6;75.9;;;;20.2;3.9;71.6;;;;24.2;4.2;78.8;71.9;4.3;2.6;16.8;4.4;71.2;;;;24.6;4.2;76.9;71.5;4.3;1.1;20.1;3;74.7;72;1.3;1.4;19.7;5.6
01166;;;;;;;;;;;;;;;;;;;72;;;;26.6;1.4;65.8;;;;32.6;1.6;64.4;;;;34.5;1.1;68.6;60.9;2.2;5.5;28.6;2.8;77.9;71.1;1.4;5.4;20.8;1.3;72.7;69.2;1.5;2;23.4;3.9;76.2;67.6;1.6;7;9;14.8
01173;76.5;54.5;17.2;4.8;14.4;9.1;81.7;64.8;13.7;3.2;14.8;3.5;77.2;63.4;10.3;3.5;20.7;2.1;80.3;;;;17;2.7;79.1;;;;18.9;2;81.2;73.5;5.5;2.2;17.2;1.6;81.9;75.6;4.8;1.5;16.3;1.8;84.3;78.4;3.4;2.5;13.4;2.3;87.4;81.7;4.3;1.4;9.4;3.2;88.5;85.2;1.5;1.8;8.5;3
01185;67.7;39.8;14.8;13.1;28.6;3.7;64.8;49.4;9.9;5.5;35.6;-0.4;58.5;;;;40.6;0.9;59.8;;;;38.7;1.5;55.3;50.4;2.5;2.4;43.7;1;58.2;55.2;2.2;0.8;39;2.8;55.3;48.4;2.3;4.6;43.3;1.4;58.9;53.3;1.6;4;38.3;2.8;63.4;;;;29.8;6.8;64.2;50.4;2.5;11.3;21.5;14.3
01192;;;;;;;;;;;;;72.1;;;;26.9;1;77.6;;;;22.2;0.2;67.9;;;;30.1;2;67.9;;;;29.4;2.7;71.6;;;;26.6;1.8;82.7;;;;14.7;2.6;;;;;;;;;;;;
01194;;;;;;;71.4;56.7;11.2;3.5;27.2;1.4;64.4;;;;34.6;1;57;49.9;5.1;2;41.8;1.2;60.3;54.9;3.1;2.3;38.3;1.4;62.7;58.5;2.5;1.7;35.6;1.7;64.5;59.8;2.5;2.2;33.7;1.8;72.4;67.9;2.5;2;25.6;2;76.3;70.8;2.4;3.1;21.2;2.5;71.3;61.5;0.9;8.9;16.6;12.1
01202;76;;;;23.9;0.1;71.2;54.6;12.9;3.7;29.2;-0.4;66.3;56.7;7.8;1.8;32.2;1.5;65.6;60.6;4.1;0.9;33.3;1.1;68.6;63.8;3;1.8;30.3;1.1;64.6;60.9;2.8;0.9;33.8;1.6;64.4;59.5;2;2.9;33.3;2.3;69.8;66.2;1.2;2.4;27.2;3;72.6;68.3;1.3;3;24;3.4;65;52.5;1.4;11.1;19.8;15.2
01224;;;;;;;74;;;;24.1;1.9;71.2;58.6;6.3;6.3;27.4;1.4;76.8;;;;22.7;0.5;72.3;;;;26.1;1.6;76.8;;;;21.8;1.4;78.7;;;;19;2.3;78;;;;19.2;2.8;78.1;;;;18.2;3.7;;;;;;
01231;;;;;;;;;;;;;46.4;;;;52.2;1.4;60.8;;;;36.7;2.5;63.7;;;;33.2;3.1;74.3;;;;23.6;2.1;66.7;;;;30.4;2.9;70.4;64.2;0.8;5.4;25.9;3.7;66.6;;;;26.5;6.9;;;;;;
