ANNEE2;NA5;GEO;EFFTOT;STATUT
1989;T;D971;101471;ENS
1990;T;D971;102745;ENS
1991;T;D971;103541;ENS
1992;T;D971;104827;ENS
1993;T;D971;106483;ENS
1994;T;D971;107375;ENS
1995;T;D971;107345;ENS
1996;T;D971;116417;ENS
1997;T;D971;115859;ENS
1998;T;D971;115845;ENS
1999;T;D971;118200;ENS
2000;T;D971;123244;ENS
2001;T;D971;125190;ENS
2002;T;D971;127119;ENS
2003;T;D971;125962;ENS
2004;T;D971;127602;ENS
2005;T;D971;128474;ENS
2006;T;D971;133800;ENS
2007;T;D971;133607;ENS
2008;T;D971;136232;ENS
2009;T;D971;135296;ENS
2010;T;D971;139027;ENS
2011;T;D971;136145;ENS
2012;T;D971;136211;ENS
2013;T;D971;137515;ENS
2014;T;D971;136866;ENS
2015;T;D971;138262;ENS
2016;T;D971;137315;ENS
2017;T;D971;135142;ENS
2018;T;D971;133914;ENS
2019;T;D971;136965;ENS
2020;T;D971;139544;ENS
2021;T;D971;142849;ENS
1989;T;D972;115043;ENS
1990;T;D972;114000;ENS
1991;T;D972;112507;ENS
1992;T;D972;116382;ENS
1993;T;D972;119651;ENS
1994;T;D972;122276;ENS
1995;T;D972;128879;ENS
1996;T;D972;132553;ENS
1997;T;D972;126985;ENS
1998;T;D972;124370;ENS
1999;T;D972;130712;ENS
2000;T;D972;129072;ENS
2001;T;D972;131789;ENS
2002;T;D972;133285;ENS
2003;T;D972;132804;ENS
2004;T;D972;135175;ENS
2005;T;D972;138758;ENS
2006;T;D972;143435;ENS
2007;T;D972;143757;ENS
2008;T;D972;144236;ENS
2009;T;D972;139889;ENS
2010;T;D972;142859;ENS
2011;T;D972;138209;ENS
2012;T;D972;137392;ENS
2013;T;D972;137685;ENS
2014;T;D972;138018;ENS
2015;T;D972;140139;ENS
2016;T;D972;138852;ENS
2017;T;D972;137776;ENS
2018;T;D972;134857;ENS
2019;T;D972;138000;ENS
2020;T;D972;140345;ENS
2021;T;D972;144321;ENS
1989;T;D973;37015;ENS
1990;T;D973;37273;ENS
1991;T;D973;37515;ENS
1992;T;D973;38877;ENS
1993;T;D973;39565;ENS
1994;T;D973;42089;ENS
1995;T;D973;45458;ENS
1996;T;D973;46648;ENS
1997;T;D973;46444;ENS
1998;T;D973;47003;ENS
1999;T;D973;49237;ENS
2000;T;D973;50859;ENS
2001;T;D973;52455;ENS
2002;T;D973;53858;ENS
2003;T;D973;52711;ENS
2004;T;D973;53014;ENS
2005;T;D973;55012;ENS
2006;T;D973;57402;ENS
2007;T;D973;58271;ENS
2008;T;D973;57236;ENS
2009;T;D973;58168;ENS
2010;T;D973;60240;ENS
2011;T;D973;60926;ENS
2012;T;D973;62421;ENS
2013;T;D973;64286;ENS
2014;T;D973;65265;ENS
2015;T;D973;66303;ENS
2016;T;D973;65747;ENS
2017;T;D973;66492;ENS
2018;T;D973;67984;ENS
2019;T;D973;70176;ENS
2020;T;D973;71482;ENS
2021;T;D973;73967;ENS
1989;T;D974;155170;ENS
1990;T;D974;172879;ENS
1991;T;D974;177091;ENS
1992;T;D974;168249;ENS
1993;T;D974;169787;ENS
1994;T;D974;175378;ENS
