ANNEE3;NA17;AGE;EFFSAL;GEO
2008;T;A1524;9270;D971
2009;T;A1524;9085;D971
2010;T;A1524;9734;D971
2011;T;A1524;9453;D971
2012;T;A1524;9460;D971
2013;T;A1524;9524;D971
2014;T;A1524;9314;D971
2015;T;A1524;9234;D971
2016;T;A1524;9039;D971
2017;T;A1524;8330;D971
2018;T;A1524;7703;D971
2019;T;A1524;8859;D971
2020;T;A1524;8718;D971
2008;T;A1524;11161;D972
2009;T;A1524;9857;D972
2010;T;A1524;9949;D972
2011;T;A1524;9307;D972
2012;T;A1524;8593;D972
2013;T;A1524;8550;D972
2014;T;A1524;8280;D972
2015;T;A1524;8689;D972
2016;T;A1524;8438;D972
2017;T;A1524;7701;D972
2018;T;A1524;7002;D972
2019;T;A1524;8439;D972
2020;T;A1524;8116;D972
2008;T;A1524;5604;D973
2009;T;A1524;5911;D973
2010;T;A1524;6503;D973
2011;T;A1524;6356;D973
2012;T;A1524;6154;D973
2013;T;A1524;6249;D973
2014;T;A1524;6118;D973
2015;T;A1524;6264;D973
2016;T;A1524;5940;D973
2017;T;A1524;5825;D973
2018;T;A1524;5795;D973
2019;T;A1524;6536;D973
2020;T;A1524;6442;D973
2008;T;A1524;27516;D974
2009;T;A1524;25303;D974
2010;T;A1524;25371;D974
2011;T;A1524;25436;D974
2012;T;A1524;25687;D974
2013;T;A1524;25962;D974
2014;T;A1524;26188;D974
2015;T;A1524;27157;D974
2016;T;A1524;25927;D974
2017;T;A1524;24887;D974
2018;T;A1524;23138;D974
2019;T;A1524;26935;D974
2020;T;A1524;27678;D974
2008;T;A1524;53551;DO
2009;T;A1524;50156;DO
2010;T;A1524;51557;DO
2011;T;A1524;50552;DO
2012;T;A1524;49894;DO
2013;T;A1524;50285;DO
2014;T;A1524;49900;DO
2015;T;A1524;51344;DO
2016;T;A1524;49344;DO
2017;T;A1524;46743;DO
2018;T;A1524;43638;DO
2019;T;A1524;50769;DO
2020;T;A1524;50954;DO
2008;T;A1524;645322;F11
2009;T;A1524;610313;F11
2010;T;A1524;604886;F11
2011;T;A1524;607093;F11
2012;T;A1524;586369;F11
2013;T;A1524;571392;F11
2014;T;A1524;559256;F11
2015;T;A1524;554116;F11
2016;T;A1524;563871;F11
2017;T;A1524;568535;F11
2018;T;A1524;571952;F11
2019;T;A1524;618997;F11
2020;T;A1524;585297;F11
2008;T;A1524;191127;F1175
2009;T;A1524;182846;F1175
2010;T;A1524;183128;F1175
2011;T;A1524;184627;F1175
2012;T;A1524;180492;F1175
2013;T;A1524;175687;F1175
2014;T;A1524;172888;F1175
2015;T;A1524;170757;F1175
2016;T;A1524;175160;F1175
2017;T;A1524;178679;F1175
2018;T;A1524;181559;F1175
2019;T;A1524;195028;F1175
2020;T;A1524;178116;F1175
2008;T;A1524;62661;F1177
2009;T;A1524;58379;F1177
2010;T;A1524;58039;F1177
2011;T;A1524;57125;F1177
2012;T;A1524;54629;F1177
2013;T;A1524;51980;F1177
2014;T;A1524;51313;F1177
2015;T;A1524;51300;F1177
2016;T;A1524;51614;F1177
2017;T;A1524;52970;F1177
2018;T;A1524;53323;F1177
2019;T;A1524;58377;F1177
2020;T;A1524;55212;F1177
2008;T;A1524;67998;F1178
2009;T;A1524;63235;F1178
2010;T;A1524;62812;F1178
2011;T;A1524;62828;F1178
2012;T;A1524;59482;F1178
2013;T;A1524;57470;F1178
2014;T;A1524;55070;F1178
2015;T;A1524;54774;F1178
2016;T;A1524;55512;F1178
2017;T;A1524;55533;F1178
2018;T;A1524;55264;F1178
2019;T;A1524;59395;F1178
2020;T;A1524;56240;F1178
2008;T;A1524;56886;F1191
2009;T;A1524;54312;F1191
2010;T;A1524;52379;F1191
2011;T;A1524;51958;F1191
2012;T;A1524;50302;F1191
2013;T;A1524;48716;F1191
2014;T;A1524;47127;F1191
2015;T;A1524;46105;F1191
2016;T;A1524;47368;F1191
2017;T;A1524;46977;F1191
2018;T;A1524;46489;F1191
2019;T;A1524;52910;F1191
2020;T;A1524;52585;F1191
2008;T;A1524;99402;F1192
2009;T;A1524;92573;F1192
2010;T;A1524;91817;F1192
2011;T;A1524;94088;F1192
2012;T;A1524;90344;F1192
2013;T;A1524;87385;F1192
2014;T;A1524;86900;F1192
2015;T;A1524;88068;F1192
2016;T;A1524;89868;F1192
2017;T;A1524;92023;F1192
2018;T;A1524;93938;F1192
2019;T;A1524;99168;F1192
2020;T;A1524;93043;F1192
2008;T;A1524;59424;F1193
2009;T;A1524;58600;F1193
2010;T;A1524;57693;F1193
2011;T;A1524;57050;F1193
2012;T;A1524;55319;F1193
2013;T;A1524;57763;F1193
2014;T;A1524;55529;F1193
2015;T;A1524;54007;F1193
2016;T;A1524;54504;F1193
2017;T;A1524;53646;F1193
2018;T;A1524;53315;F1193
2019;T;A1524;58372;F1193
2020;T;A1524;57327;F1193
2008;T;A1524;59488;F1194
2009;T;A1524;56213;F1194
2010;T;A1524;55464;F1194
2011;T;A1524;55660;F1194
2012;T;A1524;54625;F1194
2013;T;A1524;52839;F1194
2014;T;A1524;51580;F1194
2015;T;A1524;50854;F1194
2016;T;A1524;51415;F1194
2017;T;A1524;50356;F1194
2018;T;A1524;49579;F1194
2019;T;A1524;54022;F1194
2020;T;A1524;51255;F1194
2008;T;A1524;48336;F1195
2009;T;A1524;44155;F1195
2010;T;A1524;43554;F1195
2011;T;A1524;43757;F1195
2012;T;A1524;41176;F1195
2013;T;A1524;39552;F1195
2014;T;A1524;38849;F1195
2015;T;A1524;38251;F1195
2016;T;A1524;38430;F1195
2017;T;A1524;38351;F1195
2018;T;A1524;38485;F1195
2019;T;A1524;41725;F1195
2020;T;A1524;41519;F1195
2008;T;A1524;114569;F24
2009;T;A1524;107564;F24
2010;T;A1524;105943;F24
2011;T;A1524;103405;F24
2012;T;A1524;98259;F24
2013;T;A1524;95612;F24
2014;T;A1524;92706;F24
2015;T;A1524;92971;F24
2016;T;A1524;94279;F24
2017;T;A1524;96779;F24
2018;T;A1524;97672;F24
2019;T;A1524;105621;F24
2020;T;A1524;105639;F24
2008;T;A1524;12139;F2418
2009;T;A1524;11168;F2418
2010;T;A1524;10748;F2418
2011;T;A1524;10724;F2418
2012;T;A1524;9865;F2418
2013;T;A1524;9490;F2418
2014;T;A1524;9155;F2418
2015;T;A1524;9149;F2418
2016;T;A1524;9329;F2418
2017;T;A1524;9465;F2418
2018;T;A1524;9594;F2418
2019;T;A1524;10345;F2418
2020;T;A1524;10574;F2418
2008;T;A1524;17317;F2428
2009;T;A1524;16072;F2428
2010;T;A1524;15892;F2428
2011;T;A1524;15454;F2428
2012;T;A1524;15233;F2428
2013;T;A1524;14705;F2428
2014;T;A1524;14073;F2428
2015;T;A1524;14418;F2428
2016;T;A1524;14205;F2428
2017;T;A1524;14257;F2428
2018;T;A1524;14150;F2428
2019;T;A1524;15206;F2428
2020;T;A1524;15261;F2428
2008;T;A1524;9304;F2436
2009;T;A1524;8704;F2436
2010;T;A1524;8595;F2436
2011;T;A1524;8027;F2436
2012;T;A1524;7429;F2436
2013;T;A1524;7203;F2436
2014;T;A1524;7163;F2436
2015;T;A1524;7077;F2436
2016;T;A1524;6961;F2436
2017;T;A1524;7329;F2436
2018;T;A1524;7600;F2436
2019;T;A1524;8054;F2436
2020;T;A1524;7926;F2436
2008;T;A1524;28921;F2437
2009;T;A1524;27083;F2437
2010;T;A1524;27475;F2437
2011;T;A1524;26741;F2437
2012;T;A1524;25422;F2437
2013;T;A1524;24841;F2437
2014;T;A1524;23876;F2437
2015;T;A1524;23782;F2437
2016;T;A1524;24175;F2437
2017;T;A1524;25470;F2437
2018;T;A1524;26362;F2437
2019;T;A1524;28343;F2437
2020;T;A1524;28335;F2437
2008;T;A1524;13798;F2441
2009;T;A1524;13572;F2441
2010;T;A1524;13007;F2441
2011;T;A1524;12788;F2441
2012;T;A1524;11985;F2441
2013;T;A1524;11478;F2441
2014;T;A1524;11414;F2441
2015;T;A1524;11569;F2441
2016;T;A1524;11774;F2441
2017;T;A1524;11859;F2441
2018;T;A1524;11769;F2441
2019;T;A1524;13030;F2441
2020;T;A1524;12943;F2441
2008;T;A1524;33090;F2445
2009;T;A1524;30965;F2445
2010;T;A1524;30226;F2445
2011;T;A1524;29671;F2445
2012;T;A1524;28325;F2445
2013;T;A1524;27895;F2445
2014;T;A1524;27025;F2445
2015;T;A1524;26976;F2445
2016;T;A1524;27835;F2445
2017;T;A1524;28399;F2445
2018;T;A1524;28197;F2445
2019;T;A1524;30643;F2445
2020;T;A1524;30600;F2445
2008;T;A1524;125185;F27
2009;T;A1524;117397;F27
2010;T;A1524;115801;F27
2011;T;A1524;114322;F27
2012;T;A1524;107800;F27
2013;T;A1524;105304;F27
2014;T;A1524;102071;F27
2015;T;A1524;102732;F27
2016;T;A1524;105584;F27
2017;T;A1524;107637;F27
2018;T;A1524;107476;F27
2019;T;A1524;115021;F27
2020;T;A1524;114506;F27
2008;T;A1524;27873;F2721
2009;T;A1524;26507;F2721
2010;T;A1524;25698;F2721
2011;T;A1524;25706;F2721
2012;T;A1524;24243;F2721
2013;T;A1524;23659;F2721
2014;T;A1524;22881;F2721
2015;T;A1524;22866;F2721
2016;T;A1524;23628;F2721
2017;T;A1524;23834;F2721
2018;T;A1524;23827;F2721
2019;T;A1524;25813;F2721
2020;T;A1524;25517;F2721
2008;T;A1524;25985;F2725
2009;T;A1524;23831;F2725
2010;T;A1524;24535;F2725
2011;T;A1524;24329;F2725
2012;T;A1524;23026;F2725
2013;T;A1524;22613;F2725
2014;T;A1524;21952;F2725
2015;T;A1524;22456;F2725
2016;T;A1524;23219;F2725
2017;T;A1524;23992;F2725
2018;T;A1524;23977;F2725
2019;T;A1524;25723;F2725
2020;T;A1524;25357;F2725
2008;T;A1524;10136;F2739
2009;T;A1524;9548;F2739
2010;T;A1524;9656;F2739
2011;T;A1524;9620;F2739
2012;T;A1524;9244;F2739
2013;T;A1524;9311;F2739
2014;T;A1524;9199;F2739
2015;T;A1524;9075;F2739
2016;T;A1524;9557;F2739
2017;T;A1524;9779;F2739
2018;T;A1524;9714;F2739
2019;T;A1524;10258;F2739
2020;T;A1524;10360;F2739
2008;T;A1524;7791;F2758
2009;T;A1524;7171;F2758
2010;T;A1524;6993;F2758
2011;T;A1524;6695;F2758
2012;T;A1524;6389;F2758
2013;T;A1524;6191;F2758
2014;T;A1524;6002;F2758
2015;T;A1524;5990;F2758
2016;T;A1524;6310;F2758
2017;T;A1524;6450;F2758
2018;T;A1524;6554;F2758
2019;T;A1524;6932;F2758
2020;T;A1524;6737;F2758
2008;T;A1524;8813;F2770
2009;T;A1524;8323;F2770
2010;T;A1524;8553;F2770
2011;T;A1524;7987;F2770
2012;T;A1524;7252;F2770
2013;T;A1524;7103;F2770
2014;T;A1524;6836;F2770
2015;T;A1524;7077;F2770
2016;T;A1524;7112;F2770
2017;T;A1524;7271;F2770
2018;T;A1524;7274;F2770
2019;T;A1524;7813;F2770
2020;T;A1524;8179;F2770
2008;T;A1524;22627;F2771
2009;T;A1524;21459;F2771
2010;T;A1524;20729;F2771
2011;T;A1524;20571;F2771
2012;T;A1524;20004;F2771
2013;T;A1524;19519;F2771
2014;T;A1524;18766;F2771
2015;T;A1524;18796;F2771
2016;T;A1524;18957;F2771
2017;T;A1524;19403;F2771
2018;T;A1524;19477;F2771
2019;T;A1524;20923;F2771
2020;T;A1524;21249;F2771
2008;T;A1524;14845;F2789
2009;T;A1524;13634;F2789
2010;T;A1524;13032;F2789
2011;T;A1524;13033;F2789
2012;T;A1524;11983;F2789
2013;T;A1524;11391;F2789
2014;T;A1524;10971;F2789
2015;T;A1524;10820;F2789
2016;T;A1524;11227;F2789
2017;T;A1524;11398;F2789
2018;T;A1524;11388;F2789
2019;T;A1524;12051;F2789
2020;T;A1524;11798;F2789
2008;T;A1524;7115;F2790
2009;T;A1524;6924;F2790
2010;T;A1524;6605;F2790
2011;T;A1524;6381;F2790
2012;T;A1524;5659;F2790
2013;T;A1524;5517;F2790
2014;T;A1524;5464;F2790
2015;T;A1524;5652;F2790
2016;T;A1524;5574;F2790
2017;T;A1524;5510;F2790
2018;T;A1524;5265;F2790
2019;T;A1524;5508;F2790
