ANNEE4;EMPNAF;GEO;EFFSAL
1989;AZ;D971;2155
1990;AZ;D971;2147
1991;AZ;D971;2137
1992;AZ;D971;2065
1993;AZ;D971;2399
1994;AZ;D971;1864
1995;AZ;D971;1677
1996;AZ;D971;2286
1997;AZ;D971;2260
1998;AZ;D971;2173
1999;AZ;D971;2173
2000;AZ;D971;2200
2001;AZ;D971;2203
2002;AZ;D971;2164
2003;AZ;D971;2183
2004;AZ;D971;2145
2005;AZ;D971;1848
2006;AZ;D971;1651
2007;AZ;D971;1566
2008;AZ;D971;1654
2009;AZ;D971;1641
2010;AZ;D971;1648
2011;AZ;D971;1759
2012;AZ;D971;1722
2013;AZ;D971;1745
2014;AZ;D971;1608
2015;AZ;D971;1637
2016;AZ;D971;1646
2017;AZ;D971;1417
2018;AZ;D971;1273
2019;AZ;D971;1394
2020;AZ;D971;1461
1989;AZ;D972;4259
1990;AZ;D972;3810
1991;AZ;D972;3374
1992;AZ;D972;3082
1993;AZ;D972;3161
1994;AZ;D972;3317
1995;AZ;D972;4375
1996;AZ;D972;4507
1997;AZ;D972;4430
1998;AZ;D972;4447
1999;AZ;D972;4447
2000;AZ;D972;4755
2001;AZ;D972;4723
2002;AZ;D972;4726
2003;AZ;D972;4731
2004;AZ;D972;4538
2005;AZ;D972;4382
2006;AZ;D972;4295
2007;AZ;D972;3769
2008;AZ;D972;3696
2009;AZ;D972;3813
2010;AZ;D972;4092
2011;AZ;D972;4032
2012;AZ;D972;4070
2013;AZ;D972;3987
2014;AZ;D972;4081
2015;AZ;D972;4139
2016;AZ;D972;3938
2017;AZ;D972;3680
2018;AZ;D972;3702
2019;AZ;D972;3875
2020;AZ;D972;3731
1989;AZ;D973;779
1990;AZ;D973;669
1991;AZ;D973;563
1992;AZ;D973;496
1993;AZ;D973;493
1994;AZ;D973;523
1995;AZ;D973;472
1996;AZ;D973;604
1997;AZ;D973;525
1998;AZ;D973;528
1999;AZ;D973;528
2000;AZ;D973;532
2001;AZ;D973;534
2002;AZ;D973;530
2003;AZ;D973;500
2004;AZ;D973;506
2005;AZ;D973;458
2006;AZ;D973;452
2007;AZ;D973;365
2008;AZ;D973;271
2009;AZ;D973;439
2010;AZ;D973;451
2011;AZ;D973;413
2012;AZ;D973;358
2013;AZ;D973;368
2014;AZ;D973;410
2015;AZ;D973;395
2016;AZ;D973;407
2017;AZ;D973;347
2018;AZ;D973;328
2019;AZ;D973;357
2020;AZ;D973;378
1989;AZ;D974;2557
1990;AZ;D974;2170
1991;AZ;D974;1917
1992;AZ;D974;1683
1993;AZ;D974;1804
1994;AZ;D974;1932
1995;AZ;D974;1966
1996;AZ;D974;2160
1997;AZ;D974;2337
1998;AZ;D974;2349
1999;AZ;D974;2349
2000;AZ;D974;2498
2001;AZ;D974;2536
2002;AZ;D974;2502
2003;AZ;D974;2451
2004;AZ;D974;2597
2005;AZ;D974;2527
2006;AZ;D974;2540
2007;AZ;D974;2581
2008;AZ;D974;2372
2009;AZ;D974;2409
2010;AZ;D974;2580
2011;AZ;D974;2588
2012;AZ;D974;2937
2013;AZ;D974;2773
2014;AZ;D974;2782
2015;AZ;D974;2876
2016;AZ;D974;2981
2017;AZ;D974;2984
2018;AZ;D974;2889
2019;AZ;D974;3071
2020;AZ;D974;3219
1989;AZ;DO;9750
1990;AZ;DO;8796
1991;AZ;DO;7991
1992;AZ;DO;7326
1993;AZ;DO;7857
1994;AZ;DO;7636
1995;AZ;DO;8490
1996;AZ;DO;9557
1997;AZ;DO;9552
1998;AZ;DO;9497
1999;AZ;DO;9497
2000;AZ;DO;9985
2001;AZ;DO;9996
2002;AZ;DO;9922
2003;AZ;DO;9865
2004;AZ;DO;9786
2005;AZ;DO;9215
2006;AZ;DO;8938
2007;AZ;DO;8281
2008;AZ;DO;7993
2009;AZ;DO;8302
2010;AZ;DO;8771
2011;AZ;DO;8792
2012;AZ;DO;9087
2013;AZ;DO;8873
2014;AZ;DO;8881
2015;AZ;DO;9047
2016;AZ;DO;8972
2017;AZ;DO;8428
2018;AZ;DO;8192
2019;AZ;DO;8697
2020;AZ;DO;8789
1989;AZ;F11;5452
1990;AZ;F11;5909
1991;AZ;F11;6079
1992;AZ;F11;6611
1993;AZ;F11;7093
1994;AZ;F11;7313
1995;AZ;F11;8164
1996;AZ;F11;8513
1997;AZ;F11;8518
1998;AZ;F11;8827
1999;AZ;F11;7788
2000;AZ;F11;6975
2001;AZ;F11;6697
2002;AZ;F11;6360
2003;AZ;F11;6281
2004;AZ;F11;6296
2005;AZ;F11;6238
2006;AZ;F11;5935
2007;AZ;F11;5604
2008;AZ;F11;4819
2009;AZ;F11;4680
2010;AZ;F11;4499
2011;AZ;F11;4354
2012;AZ;F11;4460
2013;AZ;F11;4788
2014;AZ;F11;4773
2015;AZ;F11;4847
2016;AZ;F11;4672
2017;AZ;F11;4935
2018;AZ;F11;4893
2019;AZ;F11;4972
2020;AZ;F11;5108
1989;AZ;F1175;700
1990;AZ;F1175;762
1991;AZ;F1175;795
1992;AZ;F1175;876
1993;AZ;F1175;952
1994;AZ;F1175;997
1995;AZ;F1175;1130
1996;AZ;F1175;1192
1997;AZ;F1175;1211
1998;AZ;F1175;1248
1999;AZ;F1175;1155
2000;AZ;F1175;1063
2001;AZ;F1175;1047
2002;AZ;F1175;1001
2003;AZ;F1175;1089
2004;AZ;F1175;1075
2005;AZ;F1175;1182
2006;AZ;F1175;1096
2007;AZ;F1175;1171
2008;AZ;F1175;819
2009;AZ;F1175;788
2010;AZ;F1175;707
2011;AZ;F1175;647
2012;AZ;F1175;682
2013;AZ;F1175;730
2014;AZ;F1175;739
2015;AZ;F1175;745
2016;AZ;F1175;717
2017;AZ;F1175;702
2018;AZ;F1175;601
2019;AZ;F1175;572
2020;AZ;F1175;590
1989;AZ;F1177;1756
1990;AZ;F1177;1856
1991;AZ;F1177;1888
1992;AZ;F1177;2015
1993;AZ;F1177;2121
1994;AZ;F1177;2144
1995;AZ;F1177;2347
1996;AZ;F1177;2401
1997;AZ;F1177;2351
1998;AZ;F1177;2402
1999;AZ;F1177;2135
2000;AZ;F1177;1916
2001;AZ;F1177;1821
2002;AZ;F1177;1803
2003;AZ;F1177;1751
2004;AZ;F1177;1709
2005;AZ;F1177;1694
2006;AZ;F1177;1712
2007;AZ;F1177;1638
2008;AZ;F1177;1589
2009;AZ;F1177;1592
2010;AZ;F1177;1559
2011;AZ;F1177;1510
2012;AZ;F1177;1643
2013;AZ;F1177;1713
2014;AZ;F1177;1713
2015;AZ;F1177;1746
2016;AZ;F1177;1726
2017;AZ;F1177;1784
2018;AZ;F1177;1757
2019;AZ;F1177;1832
2020;AZ;F1177;1927
1989;AZ;F1178;987
1990;AZ;F1178;1077
1991;AZ;F1178;1098
1992;AZ;F1178;1208
1993;AZ;F1178;1304
1994;AZ;F1178;1348
1995;AZ;F1178;1511
1996;AZ;F1178;1578
1997;AZ;F1178;1587
1998;AZ;F1178;1697
1999;AZ;F1178;1489
2000;AZ;F1178;1338
2001;AZ;F1178;1288
2002;AZ;F1178;1276
2003;AZ;F1178;1301
2004;AZ;F1178;1129
2005;AZ;F1178;1214
2006;AZ;F1178;1201
2007;AZ;F1178;1188
2008;AZ;F1178;1096
2009;AZ;F1178;1071
2010;AZ;F1178;1019
2011;AZ;F1178;1039
2012;AZ;F1178;1003
2013;AZ;F1178;1062
2014;AZ;F1178;1028
2015;AZ;F1178;1043
2016;AZ;F1178;1003
2017;AZ;F1178;1089
2018;AZ;F1178;1048
2019;AZ;F1178;1026
2020;AZ;F1178;1091
1989;AZ;F1191;1283
1990;AZ;F1191;1404
1991;AZ;F1191;1441
1992;AZ;F1191;1547
1993;AZ;F1191;1653
1994;AZ;F1191;1696
1995;AZ;F1191;1883
1996;AZ;F1191;1956
1997;AZ;F1191;1945
1998;AZ;F1191;1962
1999;AZ;F1191;1764
2000;AZ;F1191;1594
2001;AZ;F1191;1522
2002;AZ;F1191;1224
2003;AZ;F1191;1110
2004;AZ;F1191;1199
2005;AZ;F1191;1121
2006;AZ;F1191;947
2007;AZ;F1191;818
2008;AZ;F1191;661
2009;AZ;F1191;584
2010;AZ;F1191;575
2011;AZ;F1191;483
