NA5;GEOZE;ANNEE5;STATUT;EFFTOT
T;DO;1998;ENS;472595
T;DO;1999;ENS;491479
T;DO;2000;ENS;505516
T;DO;2001;ENS;520897
T;DO;2002;ENS;532086
T;DO;2003;ENS;533389
T;DO;2004;ENS;539602
T;DO;2005;ENS;552170
T;DO;2006;ENS;574097
T;DO;2007;ENS;586265
T;DO;2008;ENS;585384
T;DO;2009;ENS;579220
T;DO;2010;ENS;592819
T;DO;2011;ENS;593284
T;DO;2012;ENS;597481
T;DO;2013;ENS;609354
T;DO;2014;ENS;617603
T;DO;2015;ENS;628548
T;DO;2016;ENS;628884
T;DO;2017;ENS;629260
T;DO;2018;ENS;622283
T;DO;2019;ENS;644226
T;DO;2020;ENS;657210
T;DO;1998;NSAL;57538
T;DO;1999;NSAL;59133
T;DO;2000;NSAL;56062
T;DO;2001;NSAL;56201
T;DO;2002;NSAL;56392
T;DO;2003;NSAL;53533
T;DO;2004;NSAL;54711
T;DO;2005;NSAL;55616
T;DO;2006;NSAL;56746
T;DO;2007;NSAL;60625
T;DO;2008;NSAL;59920
T;DO;2009;NSAL;57341
T;DO;2010;NSAL;63558
T;DO;2011;NSAL;59037
T;DO;2012;NSAL;64308
T;DO;2013;NSAL;71758
T;DO;2014;NSAL;72118
T;DO;2015;NSAL;73663
T;DO;2016;NSAL;74068
T;DO;2017;NSAL;74509
T;DO;2018;NSAL;74097
T;DO;2019;NSAL;74366
T;DO;2020;NSAL;74703
T;DO;1998;SAL;415057
T;DO;1999;SAL;432346
T;DO;2000;SAL;449454
T;DO;2001;SAL;464696
T;DO;2002;SAL;475694
T;DO;2003;SAL;479856
T;DO;2004;SAL;484891
T;DO;2005;SAL;496554
T;DO;2006;SAL;517351
T;DO;2007;SAL;525640
T;DO;2008;SAL;525464
T;DO;2009;SAL;521879
T;DO;2010;SAL;529261
T;DO;2011;SAL;534247
T;DO;2012;SAL;533173
T;DO;2013;SAL;537596
T;DO;2014;SAL;545485
T;DO;2015;SAL;554885
T;DO;2016;SAL;554816
T;DO;2017;SAL;554751
T;DO;2018;SAL;548186
T;DO;2019;SAL;569860
T;DO;2020;SAL;582507
T;F00;1998;ENS;so
T;F00;1999;ENS;so
T;F00;2000;ENS;so
T;F00;2001;ENS;so
T;F00;2002;ENS;so
